Price,Day
23619.0,Wednesday
23130.5,Tuesday
23494.1,Monday
23558.7,Sunday
23166.1,Saturday
23191.5,Friday
23936.3,Thursday
24186.6,Wednesday
24450.7,Tuesday
24839.5,Monday
24302.9,Sunday
24631.4,Saturday
24573.5,Friday
23539.6,Thursday
24327.9,Wednesday
22198.5,Tuesday
21772.6,Monday
21786.8,Sunday
21859.8,Saturday
21635.0,Friday
21792.5,Thursday
22964.6,Wednesday
23251.7,Tuesday
22761.8,Monday
22936.0,Sunday
23323.8,Saturday
23431.2,Friday
23427.6,Thursday
23725.6,Wednesday
23125.1,Tuesday
22832.2,Monday
23753.1,Sunday
23027.9,Saturday
23074.6,Friday
23016.0,Thursday
23055.1,Wednesday
22632.5,Tuesday
22915.5,Monday
22707.8,Sunday
22775.7,Saturday
22677.2,Friday
21081.2,Thursday
20670.6,Wednesday
21137.1,Tuesday
21184.2,Monday
20879.8,Sunday
20958.2,Saturday
19927.0,Friday
18851.3,Thursday
17942.3,Wednesday
17439.1,Tuesday
17180.1,Monday
17119.0,Sunday
16943.6,Saturday
16950.9,Friday
16829.8,Thursday
16852.1,Wednesday
16674.2,Tuesday
16674.3,Monday
16618.4,Sunday
16537.4,Saturday
16607.2,Friday
16636.4,Thursday
16546.2,Wednesday
16706.1,Tuesday
16918.1,Monday
16831.8,Sunday
16837.2,Saturday
16779.1,Friday
16820.6,Thursday
16831.8,Wednesday
16902.8,Tuesday
16441.3,Monday
16741.1,Sunday
16777.1,Saturday
16629.6,Friday
17356.1,Thursday
17796.4,Wednesday
17778.6,Tuesday
17210.4,Monday
17093.3,Sunday
17127.2,Saturday
17125.7,Friday
17225.7,Thursday
16835.2,Wednesday
17089.3,Tuesday
16966.5,Monday
17112.6,Sunday
16884.5,Saturday
17093.6,Friday
16972.0,Thursday
17163.9,Wednesday
16440.4,Tuesday
16211.7,Monday
16425.6,Sunday
16456.5,Saturday
16512.3,Friday
16601.2,Thursday
16623.9,Wednesday
16212.9,Tuesday
15776.2,Monday
16286.7,Sunday
16699.2,Saturday
16638.3,Friday
16691.2,Thursday
16540.5,Wednesday
16895.1,Tuesday
16613.7,Monday
16324.5,Sunday
16795.2,Saturday
17049.9,Friday
17589.1,Thursday
15886.9,Wednesday
18527.4,Tuesday
20589.0,Monday
20916.3,Sunday
21301.6,Saturday
21145.9,Friday
20206.4,Thursday
20154.4,Wednesday
20483.5,Tuesday
20496.3,Monday
20626.3,Sunday
20809.8,Saturday
20594.4,Friday
20292.9,Thursday
20769.5,Wednesday
20082.7,Tuesday
19331.5,Monday
19571.2,Sunday
19204.8,Saturday
19162.6,Friday
19042.9,Thursday
19123.9,Wednesday
19328.2,Tuesday
19548.2,Monday
19261.9,Sunday
19068.7,Saturday
19181.8,Friday
19379.8,Thursday
19154.8,Wednesday
19059.1,Tuesday
19134.6,Monday
19441.0,Sunday
19415.0,Saturday
19531.3,Friday
19956.7,Thursday
20157.5,Wednesday
20340.2,Tuesday
19628.3,Monday
19052.2,Sunday
19311.9,Saturday
19423.0,Friday
19593.0,Thursday
19411.0,Wednesday
19081.0,Tuesday
19225.7,Monday
18803.2,Sunday
18925.2,Saturday
19293.5,Friday
19404.0,Thursday
18489.0,Wednesday
18872.4,Tuesday
19538.9,Monday
19418.8,Sunday
20113.5,Saturday
19802.4,Friday
19701.7,Thursday
20222.5,Wednesday
20175.5,Tuesday
22395.3,Monday
21834.9,Sunday
21650.4,Saturday
21365.2,Friday
19317.4,Thursday
