Price,Day
1575.3,Tuesday
1565.84,Monday
1564.37,Sunday
1566.73,Saturday
1568.89,Friday
1647.38,Thursday
1666.09,Wednesday
1604.69,Tuesday
1633.66,Monday
1641.6,Sunday
1594.66,Saturday
1608.24,Friday
1650.52,Thursday
1643.39,Wednesday
1659.41,Tuesday
1703.27,Monday
1681.52,Sunday
1691.62,Saturday
1693.96,Friday
1640.66,Thursday
1675.43,Wednesday
1555.46,Tuesday
1505.84,Monday
1515.44,Sunday
1538.34,Saturday
1513.82,Friday
1545.35,Thursday
1650.99,Wednesday
1671.4,Tuesday
1613.72,Monday
1629.44,Sunday
1666.9,Saturday
1663.79,Friday
1641.71,Thursday
1642.1,Wednesday
1585.27,Tuesday
1566.5,Monday
1645.97,Sunday
1573.07,Saturday
1597.6,Friday
1602.55,Thursday
1611.2,Wednesday
1556.15,Tuesday
1626.53,Monday
1627.03,Sunday
1625.53,Saturday
1659.98,Friday
1551.62,Thursday
1511.31,Wednesday
1564.67,Tuesday
1576.94,Monday
1552.69,Sunday
1550.02,Saturday
1450.86,Friday
1416.08,Thursday
1389.84,Wednesday
1335.13,Tuesday
1320.51,Monday
1288.38,Sunday
1263.9,Saturday
1269.14,Friday
1250.95,Thursday
1256.92,Wednesday
1214.57,Tuesday
1213.93,Monday
1200.52,Sunday
1195.67,Saturday
1199.8,Friday
1200.84,Thursday
1189.98,Wednesday
1211.6,Tuesday
1227.65,Monday
1218.69,Sunday
1220.46,Saturday
1220.03,Friday
1217.57,Thursday
1213.85,Wednesday
1217.2,Tuesday
1167.8,Monday
1182.7,Sunday
1187.18,Saturday
1166.7,Friday
1266.32,Thursday
1307.3,Wednesday
1320.76,Tuesday
1275.02,Monday
1263.42,Sunday
1266.62,Saturday
1262.86,Friday
1280.29,Thursday
1231.04,Wednesday
1271.26,Tuesday
1259.56,Monday
1279.74,Sunday
1240.46,Saturday
1295.69,Friday
1276.05,Thursday
1294.41,Wednesday
1216.55,Tuesday
1167.73,Monday
1193.38,Sunday
1205.15,Saturday
1198.12,Friday
1203.77,Thursday
1185.79,Wednesday
1139.74,Tuesday
1107.46,Monday
1142.88,Sunday
1217.65,Saturday
1207.31,Friday
1205.17,Thursday
1206.16,Wednesday
1253.45,Tuesday
1242.64,Monday
1221.47,Sunday
1256.29,Saturday
1288.63,Friday
1299.15,Thursday
1100.84,Wednesday
1335.25,Tuesday
1567.57,Monday
1570.86,Sunday
1627.07,Saturday
