Price,Day,Day1
0.37733,Tuesday,2
0.3785,Monday,1
0.37799,Sunday,0
0.37786,Saturday,6
0.37844,Friday,5
0.38829,Thursday,4
0.39507,Wednesday,3
0.39189,Tuesday,2
0.39841,Monday,1
0.38641,Sunday,0
0.39427,Saturday,6
0.39486,Friday,5
0.38417,Thursday,4
0.40113,Wednesday,3
0.38207,Tuesday,2
0.37045,Monday,1
0.37482,Sunday,0
0.38349,Saturday,6
0.38207,Friday,5
0.38167,Thursday,4
0.3976,Wednesday,3
0.40361,Tuesday,2
0.39189,Monday,1
0.39842,Sunday,0
0.41093,Saturday,6
0.41152,Friday,5
0.40962,Thursday,4
0.41328,Wednesday,3
0.40572,Tuesday,2
0.39359,Monday,1
0.41328,Sunday,0
0.40787,Saturday,6
