Price,day_of_week
0.3841,3
0.3762,2
0.3785,1
0.37799,0
0.37786,6
0.37844,5
0.38829,4
0.39507,3
0.39189,2
0.39841,1
0.38641,0
0.39427,6
0.39486,5
0.38417,4
0.40113,3
0.38207,2
0.37045,1
0.37482,0
0.38349,6
0.38207,5
0.38167,4
0.3976,3
0.40361,2
0.39189,1
0.39842,0
0.41093,6
0.41152,5
0.40962,4
0.41328,3
0.40572,2
0.39359,1
0.41328,0
0.40787,6
0.41281,5
0.40944,4
0.417,3
0.40791,2
0.42396,1
0.40039,0
0.40323,6
0.41312,5
0.39288,4
0.37869,3
0.38693,2
0.38616,1
0.38474,0
0.39526,6
0.38603,5
0.37483,4
0.37289,3
0.35078,2
0.34897,1
0.34475,0
0.34412,6
0.34436,5
0.33795,4
0.34776,3
0.34367,2
0.34819,1
0.33868,0
0.33872,6
0.34519,5
0.3421,4
0.35601,3
0.36749,2
0.36591,1
0.34581,0
0.352,6
0.3543,5
0.34941,4
0.34552,3
0.34857,2
0.33894,1
0.34981,0
0.35458,6
0.35121,5
0.37793,4
0.38519,3
0.39527,2
0.38723,1
0.38098,0
0.38657,6
0.38882,5
0.39428,4
0.38327,3
0.39148,2
0.38939,1
0.38973,0
0.38711,6
0.39631,5
0.3967,4
0.4078,3
0.39804,2
0.38929,1
0.39611,0
0.39611,6
0.40775,5
0.40197,4
0.38183,3
0.37576,2
0.36455,1
0.36129,0
0.38401,6
0.38166,5
0.38239,4
0.37355,3
0.38908,2
0.37681,1
0.34082,0
0.36341,6
0.38429,5
0.39469,4
0.33206,3
0.40602,2
0.46504,1
0.471,0
0.49302,6
0.50596,5
0.45488,4
0.44992,3
0.46361,2
0.46434,1
0.45803,0
0.47011,6
0.47449,5
0.46158,4
0.469,3
0.46055,2
0.45318,1
0.46883,0
0.46542,6
0.46119,5
0.44665,4
0.45064,3
0.46582,2
0.47982,1
0.47661,0
0.48181,6
0.48847,5
0.47911,4
0.4882,3
0.4861,2
0.49376,1
0.53262,0
0.51716,6
0.51775,5
0.49357,4
0.48869,3
0.47959,2
0.46228,1
0.44831,0
0.47542,6
0.47989,5
0.48693,4
0.44877,3
0.44684,2
0.46819,1
0.49202,0
0.48781,6
0.50768,5
0.48522,4
0.39403,3
0.41477,2
0.38493,1
0.3578,0
0.37587,6
0.35525,5
0.32635,4
0.34183,3
0.33261,2
0.35977,1
0.3552,0
0.3573,6
0.35694,5
0.33958,4
0.33676,3
0.3214,2
0.33294,1
0.33172,0
0.32962,6
0.33143,5
0.33313,4
0.32771,3
0.32662,2
0.33388,1
0.32224,0
0.33461,6
0.33899,5
0.34911,4
0.34561,3
0.34714,2
0.34415,1
0.34471,0
0.33678,6
0.33459,5
0.37024,4
0.37957,3
0.37696,2
0.37511,1
0.37566,0
0.37799,6
0.37938,5
0.38015,4
0.38137,3
0.36736,2
0.37878,1
0.37227,0
0.3714,6
0.3764,5
0.37083,4
0.36951,3
0.37147,2
0.37908,1
0.37928,0
0.38767,6
0.3677,5
0.37377,4
0.35948,3
0.33761,2
0.33577,1
0.35861,0
0.35932,6
0.35765,5
0.36681,4
0.36258,3
0.37341,2
0.3657,1
0.34314,0
0.35051,6
0.33403,5
0.33363,4
0.3237,3
0.31171,2
0.3151,1
0.3253,0
0.34478,6
0.34075,5
0.34274,4
0.33244,3
0.32574,2
0.32859,1
0.32144,0
0.31549,6
0.31397,5
0.33202,4
0.3294,3
0.33743,2
0.35332,1
0.35903,0
0.36752,6
0.36738,5
0.33568,4
0.32219,3
0.32936,2
0.32242,1
0.32626,0
0.3075,6
0.32092,5
0.31304,4
0.34359,3
0.32177,2
0.31166,1
0.34318,0
0.35957,6
0.38155,5
0.40024,4
0.4005,3
0.40767,2
0.40277,1
0.39542,0
0.39242,6
0.39037,5
0.40545,4
0.39802,3
0.42156,2
0.41859,1
0.3891,0
0.38637,6
0.38149,5
0.39265,4
0.4062,3
0.40858,2
0.40509,1
0.4218,0
0.41449,6
0.41021,5
0.42026,4
0.40523,3
0.43789,2
0.42296,1
0.44795,0
0.42609,6
0.42282,5
0.3849,4
0.41569,3
0.51321,2
0.48766,1
0.56619,0
0.58075,6
0.60218,5
0.59809,4
0.64609,3
0.60461,2
0.61438,1
0.60702,0
0.58523,6
0.61153,5
0.64279,4
0.65211,3
0.64239,2
