Date,Price,Open,High,Low,Vol.,Change %
28-Feb-23,0.37733,0.3785,0.38251,0.37208,575.35M,-0.31%
27-Feb-23,0.3785,0.37798,0.38011,0.37107,602.00M,0.14%
26-Feb-23,0.37799,0.37786,0.38059,0.3746,200.97M,0.03%
25-Feb-23,0.37786,0.37843,0.37933,0.37088,285.25M,-0.15%
24-Feb-23,0.37844,0.38828,0.39079,0.37253,506.55M,-2.54%
23-Feb-23,0.38829,0.39515,0.3978,0.38572,490.03M,-1.72%
22-Feb-23,0.39507,0.3919,0.39739,0.38318,566.95M,0.81%
21-Feb-23,0.39189,0.39841,0.40161,0.38747,594.30M,-1.64%
20-Feb-23,0.39841,0.38638,0.40831,0.37802,732.42M,3.11%
19-Feb-23,0.38641,0.39427,0.39782,0.38536,328.36M,-1.99%
18-Feb-23,0.39427,0.39498,0.39742,0.39123,196.16M,-0.15%
17-Feb-23,0.39486,0.38416,0.39991,0.38107,475.63M,2.78%
16-Feb-23,0.38417,0.40111,0.40438,0.38417,594.20M,-4.23%
15-Feb-23,0.40113,0.38207,0.40224,0.37658,515.88M,4.99%
14-Feb-23,0.38207,0.37043,0.38379,0.36462,507.21M,3.14%
13-Feb-23,0.37045,0.37477,0.37807,0.36293,538.01M,-1.17%
12-Feb-23,0.37482,0.38349,0.3848,0.37214,191.17M,-2.26%
11-Feb-23,0.38349,0.38203,0.3841,0.38021,166.46M,0.37%
10-Feb-23,0.38207,0.38172,0.38769,0.3779,376.95M,0.11%
9-Feb-23,0.38167,0.3976,0.40805,0.37413,721.48M,-4.01%
8-Feb-23,0.3976,0.4036,0.4057,0.39374,374.80M,-1.49%
7-Feb-23,0.40361,0.39192,0.4047,0.39025,478.44M,2.99%
6-Feb-23,0.39189,0.39841,0.40351,0.39102,417.17M,-1.64%
5-Feb-23,0.39842,0.41091,0.41168,0.39542,327.69M,-3.04%
4-Feb-23,0.41093,0.41153,0.42025,0.40764,243.58M,-0.14%
3-Feb-23,0.41152,0.40961,0.41368,0.40604,369.09M,0.46%
2-Feb-23,0.40962,0.41325,0.41874,0.40849,436.84M,-0.89%
1-Feb-23,0.41328,0.40569,0.41568,0.39699,506.19M,1.86%
31-Jan-23,0.40572,0.39353,0.41119,0.38837,466.63M,3.08%
30-Jan-23,0.39359,0.41331,0.42151,0.38936,575.47M,-4.77%
29-Jan-23,0.41328,0.40787,0.41718,0.4066,223.15M,1.33%
28-Jan-23,0.40787,0.41279,0.41598,0.40589,199.75M,-1.20%
