time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,DiffLast,DiffMean,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,FlowTfrFromExCnt,GasLmtBlk,GasLmtBlkMean,GasLmtTx,GasLmtTxMean,GasUsedTx,GasUsedTxMean,HashRate,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevHashNtv,RevHashRateNtv,RevHashRateUSD,RevHashUSD,RevNtv,RevUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
7/30/2015,9206,5685,9203,9203,1237,9151,9203,145,8094,9203,9203,9203,9203,7952,122,9142,1017,9203,5363,2,,,,,,,,,1614334928,6911,643.8861236,,,,,,,0,3.38279E+11,1.21335E+11,0,,,,,0,,0,,0,,0,34555000,5000,0,,0,,0.027211978,39311.09375,19.91490396,0.054561381,,39311.09375,,0.843710596,,,,,,,,,,,,,,16.72019244,1444624.627,,,39311.09375,,6.95996E-06,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,39092.5,0.054258,71308924.91,72049301.59,72049301.59,60788759.19,72049054.25,72049301.59,40509413.87,72017685.1,72049301.59,72049301.59,72049301.59,72049301.59,72048977.22,72005337.79,38538103.87,58903078.42,71024839.97,12901484.24,,,,,,,,,36338103.87,57933078.42,35538103.87,72049301.59,447163348.6,71239301.59,0,0,0,0,,,,,,0,,,,
7/31/2015,424,5692,9359,9359,1238,9278,9359,145,8152,9359,9359,9359,9359,8003,122,9271,1018,9359,5368,2,,,,,,,,,1614334928,6863,582.0279761,,,,,,,0,8.23193E+11,6.02942E+11,0,,,,,0,,0,,0,,0,34315000,5000,0,,0,,0.04793358,36191.71875,18.32543101,0.05020666,,36191.71875,,0.843461477,,,,,,,,,,,,,,8.738876396,755038.9206,,,36191.71875,,1.09565E-05,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,75260.9375,0.104405,71331952.57,72085493.31,72085493.31,60801336.69,72085102.84,72085493.31,40509413.87,72051380.88,72085493.31,72085493.31,72085493.31,72085493.31,72085041.28,72038409.51,38538103.87,58916928.1,71046158.25,12901484.24,,,,,,,,,36338103.87,58086928.1,35638103.87,72085493.31,272149894.6,71275493.31,0,0,0,0,,,,,,0,,,,
8/1/2015,413,5699,9474,9474,1238,9368,9474,145,8188,9474,9474,9474,9474,8030,122,9360,1019,9474,5370,2,,,,,,,,,1614334928,5293,575.1641791,,,,,,,0,9.56651E+11,8.87254E+11,0,,,,,0,,0,,0,,0,26465000,5000,0,,0,,0.054347463,27702.1875,14.02142613,0.038414866,,27702.1875,,0.843234786,,,,,,,,,,,,,,5.899579319,509723.6531,,,27702.1875,,1.42486E-05,102941.25,102941.25,11930.625,102941.25,102941.25,102941.25,102941.25,102941.25,102941.25,102941.25,102941.25,102941.25,0.14275,71350597.72,72113195.5,72113195.5,60808354.97,72112686.28,72113195.5,40509413.87,72077207.91,72113195.5,72113195.5,72113195.5,72113195.5,72112615.19,72063580.6,38538103.87,58931979.67,71060000.6,12901484.24,,,,,,,,,36338103.87,58211979.67,35738103.87,72113195.5,225718151.8,71303195.5,0,0,0,0,,,,,,0,,,,
8/2/2015,432,5708,9561,9561,1238,9456,9561,145,8223,9561,9561,9561,9561,8051,122,9443,1019,9561,5381,2,,,,,,,,,1614334929,5358,580.8786861,,,,,,,0,1.10255E+12,1.02025E+12,0,,,,,0,,0,,0,,0,26790000,5000,0,,0,,0.063286658,28227.1875,14.28156398,0.039127573,,28227.1875,,0.842998932,,,,,,,,,,,,,,5.162281703,446021.1392,,,28227.1875,,1.41609E-05,131130.9375,131130.9375,9211.71875,131130.9375,131130.9375,131130.9375,131130.9375,131130.9375,131130.9375,131130.9375,131130.9375,131130.9375,0.181769,71373489.76,72141422.69,72141422.69,60815142.31,72140915.19,72141422.69,40509413.87,72103804.78,72141422.69,72141422.69,72141422.69,72141422.69,72140802.69,72088835.92,38538103.87,58938767.01,71085330.29,12901484.24,,,,,,,,,36338103.87,58308767.01,35838103.87,72141422.69,210093987.8,71331422.69,0,0,0,0,,,,,,0,,,,
8/3/2015,444,5715,9637,9637,1237,9520,9637,145,8262,9637,9637,9637,9637,8078,122,9508,1019,9637,5382,2,,,,,,,,,1614334929,5280,587.1123106,,,,,,,0,1.15473E+12,1.12584E+12,0,,,,,0,,0,,0,,0,26400003,5000.000568,0,,0,,0.068812831,27976.71875,14.14935198,0.038765348,,27976.71875,,0.842649464,,,,,,,,,,,,,,4.705584839,406562.5301,,,27976.71875,,1.57215E-05,159057.5,159057.5,6036.25,159057.5,159057.5,159057.5,159057.5,159057.5,159057.5,159057.5,159057.5,159057.5,0.220395,71394518.35,72169399.41,72169399.41,60813505.73,72168834.41,72169399.41,40509413.87,72130764.47,72169399.41,72169399.41,72169399.41,72169399.41,72168730.97,72114913.89,38538103.87,58944290.14,71101344.66,12901484.24,,,,,,,,,36338103.87,58384290.14,35938103.87,72169399.41,201765378.4,71359399.41,0,0,0,0,,,,,,0,,,,
8/4/2015,411,5722,9694,9694,1237,9571,9694,145,8305,9694,9694,9694,9694,8106,122,9556,1019,9694,5385,2,,,,,,,,,1614334929,5368,586.9698212,,,,,,,0,1.29241E+12,1.21659E+12,0,,,,,0,,0,,0,,0,26840216,5000.040238,0,,0,,0.075580788,28478.4375,14.39741721,0.039444979,,28478.4375,,0.842412985,,,,,,,,,,,,,,4.361049332,376794.6623,,,28478.4375,,1.66258E-05,187500.9375,187500.9375,6381.5625,187500.9375,187500.9375,187500.9375,187500.9375,187500.9375,187500.9375,187500.9375,187500.9375,187500.9375,0.259704,71416622.42,72197877.84,72197877.84,60820429.79,72197280.34,72197877.84,40509413.87,72159488.38,72197877.84,72197877.84,72197877.84,72197877.84,72197151.28,72142317.95,38538103.87,58949748.89,71119537.47,12901484.24,,,,,,,,,36338103.87,58449748.89,35938103.87,72197877.84,197135196.9,71387877.84,0,0,0,0,,,,,,0,,,,
8/5/2015,411,5725,9747,9747,1238,9613,9747,145,8323,9747,9747,9747,9747,8134,122,9599,1020,9747,5394,2,,,,,,,,,1614334930,5235,578.9455587,,,,,,,0,1.36354E+12,1.32784E+12,0,,,,,0,,0,,0,,0,26180130,5000.979943,0,,0,,0.080467568,27528.59375,13.9119144,0.038114834,,27528.59375,,0.842281548,,,,,,,,,,,,,,3.959582633,342107.9395,,,27528.59375,,1.80755E-05,215009.5313,215009.5313,3954.6875,215009.5313,215009.5313,215009.5313,215009.5313,215009.5313,215009.5313,215009.5313,215009.5313,215009.5313,0.297692,71436806.98,72225406.44,72225406.44,60834127.13,72224755.03,72225406.44,40509413.87,72185778.53,72225406.44,72225406.44,72225406.44,72225406.44,72224634.09,72169350.76,38538103.87,58964925.14,71144603.72,12901484.24,,,,,,,,,36338103.87,58504925.14,36038103.87,72225406.44,193348841.5,71415406.44,0,0,0,0,,,,,,0,,,,
8/6/2015,396,5732,9788,9788,1239,9654,9788,145,8351,9788,9788,9788,9788,8156,122,9639,1020,9788,5398,2,,,,,,,,,1614334930,5116,583.6708366,,,,,,,0,1.44494E+12,1.38085E+12,0,,,,,0,,0,,0,,0,37861520,7400.609851,0,,0,,0.081763164,27075.46875,13.67779463,0.03747341,,27075.46875,,0.842172894,,,,,,,,,,,,,,3.83269759,331145.0718,,,27075.46875,,1.80451E-05,242069.8438,242069.8438,2921.40625,242069.8438,242069.8438,242069.8438,242069.8438,242069.8438,242069.8438,242069.8438,242069.8438,242069.8438,0.335033,71459488.85,72252481.91,72252481.91,60849081.82,72251831.59,72252481.91,40509413.87,72212720.41,72252481.91,72252481.91,72252481.91,72252481.91,72251700.66,72195727.01,38538103.87,58971146.7,71164758.1,12901484.24,,,,,,,,,36338103.87,58551146.7,36038103.87,72252481.91,178708358.9,71442481.91,0,0,0,0,,,,,,0,,,,
8/7/2015,1390,5578,9857,10057,1194,9552,9974,144,8181,10259,10089,10035,9924,7981,120,9525,985,9791,5240,3,,,,,,,,,1614334930,5189,632.6253613,,,,,,,0,1.53194E+12,1.47084E+12,0.00001137,0.018204104,,0.001320779,,37.31841351,,1437994.819,,2001.016892,,3,635540705,122478.4554,93642065,45679.0561,49353826,24075.03707,0.08834193,27437.65625,13.85550038,0.037960275,,27437.65625,,0.84520806,37.84427133,,37.42017208,,,,,,,,,,,3.599620142,311007.1803,,,27474.97466,,2.87372E-05,1916182.808,1916182.808,1758210.817,1916182.808,1916182.808,1916182.808,1916182.808,1916182.808,1916182.808,1811754.653,1916182.808,1916182.808,2.651058,71491045.19,72279890.71,72279919.44,61091570.58,72278837.2,72279917.26,41543364.54,72238064.09,72279919.56,72279919.25,72279913.03,72279828.79,72278598.13,72220651.14,39464061.56,59294189.73,71191584.15,14114470.5,,,,,,,,,37464061.56,59688062.06,37664061.56,72279919.56,174969193.9,71469919.56,2050,0.023726852,2018,1909930.275,,995.3670567,,16.1041824,,0.027789886,,,,
8/8/2015,1208,5510,9958,10267,1175,9550,10115,144,8111,10607,10316,10207,10053,7920,115,9506,973,9855,5171,3,8035,130,9537,1063,1,9948,5398,5,1614334931,5256,667.5947489,17698213.79,5.78278879,4.76619516,86768712.52,,71515082.55,15004648.4,1.60602E+12,1.58612E+12,0.00001941,0.023637615,0.028364902,0.001243194,0.001491821,68.09997007,81.71928309,861580.1364,1033887.548,14154.4231,16985.16618,88,10918643176,2077367.423,707330210,245515.5189,376006093,130512.3544,0.096483107,27943.4375,14.10545723,0.038645088,33531.84557,27943.4375,33531.84557,0.847130726,5.38980006,,4.44229244,,0.004589745,1.19999,,,,,,,33613.56485,3.360252578,290325.8228,348388.0841,4.032269491,28011.53747,33613.56485,3.43523E-05,14748634.4,14748634.4,14592184.72,14748634.4,14748634.4,14748634.4,14748634.4,14748634.4,14748634.4,14624108.23,14748634.4,14748634.4,20.396999,71516102.59,72307821.79,72307862.79,61254212.5,72306536.15,72307859.1,42038150.26,72264403.79,72307862.99,72307862.27,72307853.85,72307724.51,72306149.47,72247765.64,39524736.74,59524521.36,71216010.45,14748918.43,72307813.87,72306433.54,72258474.39,40929613.31,60370017.11,11901464.24,71428466.35,16618398.43,38024736.74,60344948.41,38624736.74,72307863,175195135.1,59596398.76,2881,0.033344907,2663,13415685.6,16098688.56,5101.056788,6121.217135,1,1.19999,0.215644113,,,,
