time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
1/1/2013,0,44,122,136,41,98,136,15,47,136,136,136,136,136,47,136,98,136,122,44,,,,,,,,,1613989843,4164,,,,,,,,,,,,0,,0.99986608,,,,,,,,,,,,,,1.98232E-06,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997608019,99999995384,1E+11,99986608019,99999841419,1E+11,99356608019,99999259501,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999259501,99999841419,99999995384,99997608019,,,,,,,,,99999861419,99156608019,79997608219,1E+11,1E+11,2892340298,0,0,0,0,,,,,,0,,,,
1/2/2013,10,45,125,139,42,101,139,15,48,139,139,139,139,139,48,139,101,139,125,45,,,,,,,,,1613989955,4703,,,,,,,,0.00001,,0.00001,,0.00018,,0.99986558,9940.357853,,288.5089759,,,,,,,,,,,1.98232E-06,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997558019,99999995384,1E+11,99986558019,99999841419,1E+11,99346558019,99999199501,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999199501,99999841419,99999995384,99997558019,,,,,,,,,99999831419,99146558019,79997608219,1E+11,99999999986,2902400298,18,0.000208333,3,10060000,,3353333.333,,50000,,0.0001006,,,,
1/3/2013,8,45,129,145,42,103,145,15,48,145,145,145,145,145,48,145,103,145,129,45,,,,,,,,,1613990481,4780,,,,,,,,0.00001,,0.00001,,0.0001,,0.99986557,2421307.506,,70277.02901,,,,,,,,,,,2.24483E-06,1E+11,1E+11,8190052465,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997557019,99999994084,1E+11,99986557019,99999820419,1E+11,99346557019,99999198501,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999198501,99999820419,99999994084,99997557019,,,,,,,,,99999790419,99246557019,79997608219,1E+11,99999999993,2902441298,10,0.000115741,6,41300,,6883.333333,,10000,,0.000101013,,,,
1/4/2013,9,45,130,147,42,104,147,15,49,147,147,147,147,147,49,147,104,147,130,45,,,,,,,,,1613990595,4024,,,,,,,,0.00001,,0.00001,,0.00019,,0.99986557,142628.3012,,4140.700938,,,,,,,,,,,2.25954E-06,1E+11,1E+11,8179551482,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997557019,99999993084,1E+11,99986557019,99999819242,1E+11,99346557019,99999188324,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999188324,99999819242,99999993084,99997557019,,,,,,,,,99999779242,99246557019,79997608219,1E+11,99999999995,2903141175,19,0.000219907,6,701123.1235,,116853.8539,,10000,,0.000108024,,,,
1/5/2013,12,45,131,149,42,106,149,15,49,149,149,149,149,149,49,149,106,149,131,45,,,,,,,,,1613990676,3201,,,,,,,,0.00001,,0.00001,,0.00025,,0.999865563,9344047.842,,271271.8627,,,,,,,,,,,2.13829E-06,1E+11,1E+11,10179550608,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997556319,99999992784,1E+11,99986556319,99999828942,1E+11,99346556319,99999177624,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999177624,99999828942,99999992784,99997556319,,,,,,,,,99999768942,99246556319,79997608219,1E+11,99999999996,2903151475,25,0.000289352,5,10702,,2140.4,,200,,0.000108131,,,,
1/6/2013,9,45,131,153,42,106,153,15,49,153,153,153,153,153,49,153,106,153,131,45,,,,,,,,,1613990752,4360,,,,,,,,0.00001,,0.00001,,0.00039,,0.999865554,9174311.927,,266345.172,,,,,,,,,,,2.15454E-06,1E+11,1E+11,10179860131,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997555419,99999991484,1E+11,99986555419,99999827642,1E+11,99346555419,99999176724,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999176724,99999827642,99999991484,99997555419,,,,,,,,,99999767642,99346555419,79997608219,1E+11,99999999996,2903162375,39,0.000451389,6,10900,,1825,,300,,0.000108241,,,,
1/7/2013,9,45,132,156,42,107,156,15,49,156,156,156,156,156,49,156,107,156,132,45,,,,,,,,,1613990837,2819,,,,,,,,0.00001,,0.00001,,0.00017,,0.999865544,8695652.174,,252449.8587,,,,,,,,,,,2.16704E-06,1E+11,1E+11,8180330406,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997554419,99999989984,1E+11,99986554419,99999826642,1E+11,99346554419,99999165724,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99999165724,99999826642,99999989984,99997554419,,,,,,,,,99999756642,99346554419,79997608219,1E+11,99999999997,2903173375,17,0.000196759,3,11500,,3833.333333,,1000,,0.000108356,,,,
1/8/2013,16,45,138,165,42,112,165,15,48,165,165,165,165,165,48,165,112,165,138,45,,,,,,,,,1613990950,3327,,,,,,,,0.00001,,0.00001,,0.00093,,0.999865541,552950.5441,,16054.11,,,,,,,,,,,2.29613E-06,1E+11,1E+11,8179749396,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,100,99997554119,99999989191,1E+11,99986554119,99999816315,1E+11,99346554119,99998903829,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99998903829,99999816315,99999989191,99997554119,,,,,,,,,99999696315,99406554119,79997608219,1E+11,99999999997,2903353685,93,0.001076389,15,180848,,12056.53333,,200,,0.000110164,,,,
1/9/2013,21,45,147,171,42,115,171,15,49,171,171,171,171,171,49,171,115,171,147,45,,,,,,,,,1613991025,4324,,,,,,,,0.00001,,0.00001,,0.00049,,0.999860941,104056.9733,,3021.152383,,,,,,,,,,,2.91243E-06,1E+11,1E+11,88176606493,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,90188360412,1E+11,1E+11,100,99997094120,99999990084,1E+11,99986094120,99999767014,1E+11,99346094120,99998844540,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99998844540,99999767014,99999990084,99997094120,,,,,,,,,99999617014,99466094120,79997158219,1E+11,99999999997,2903363694,49,0.00056713,14,961012,,68643.71429,,10000,,0.000119774,,,,
1/10/2013,24,45,161,190,42,125,190,15,50,190,190,190,190,190,50,190,125,190,161,45,,,,,,,,,1613991108,4447,,,,,,,,0.00001,,0.00001,,0.00091,,0.999855941,139684.3135,,4055.823011,,,,,,,,,,,3.16496E-06,1E+11,1E+11,88176986605,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,90178299402,1E+11,1E+11,100,99996594120,99999985884,1E+11,99985594120,99999746814,1E+11,99345594120,99998675925,1E+11,1E+11,1E+11,1E+11,1E+11,1E+11,99998675925,99999746814,99999985884,99996594120,,,,,,,,,99999496814,99565594120,79996658219,1E+11,99999999997,2903563694,91,0.001053241,23,715900,,31126.08696,,10000,,0.000126933,,,,
