,predicted
2023-03-01,11705.07
2023-03-02,11589.92
2023-03-03,11524.3
2023-03-04,11473.36
2023-03-05,11425.45
2023-03-06,11373.32
2023-03-07,11314.27
2023-03-08,11249.41
2023-03-09,11181.81
2023-03-10,11114.75
2023-03-11,11050.64
2023-03-12,10990.59
2023-03-13,10934.65
2023-03-14,10882.28
2023-03-15,10832.68
2023-03-16,10785.22
2023-03-17,10739.45
2023-03-18,10695.25
2023-03-19,10652.63
2023-03-20,10611.69
2023-03-21,10572.5
2023-03-22,10535.08
2023-03-23,10499.39
2023-03-24,10465.35
2023-03-25,10432.84
2023-03-26,10401.74
2023-03-27,10371.95
2023-03-28,10343.38
2023-03-29,10315.96
2023-03-30,10289.65
2023-03-31,10264.41
2023-04-01,10240.18
2023-04-02,10216.94
2023-04-03,10194.63
2023-04-04,10173.21
2023-04-05,10152.64
2023-04-06,10132.87
2023-04-07,10113.87
2023-04-08,10095.6
2023-04-09,10078.03
2023-04-10,10061.13
2023-04-11,10044.87
2023-04-12,10029.22
2023-04-13,10014.16
2023-04-14,9999.67
2023-04-15,9985.72
2023-04-16,9972.29
2023-04-17,9959.35
2023-04-18,9946.89
2023-04-19,9934.89
2023-04-20,9923.33
2023-04-21,9912.18
2023-04-22,9901.45
2023-04-23,9891.11
2023-04-24,9881.13
2023-04-25,9871.53
2023-04-26,9862.26
2023-04-27,9853.32
2023-04-28,9844.71
2023-04-29,9836.4
