,predicted
2023-03-01,3115.78
2023-03-02,3043.04
2023-03-03,2919.77
2023-03-04,2778.04
2023-03-05,2633.45
2023-03-06,2496.78
2023-03-07,2375.95
2023-03-08,2275.09
2023-03-09,2194.38
2023-03-10,2130.93
2023-03-11,2080.37
2023-03-12,2038.17
2023-03-13,2000.49
2023-03-14,1964.56
2023-03-15,1928.57
2023-03-16,1891.67
2023-03-17,1853.52
2023-03-18,1814.26
2023-03-19,1774.29
2023-03-20,1734.18
2023-03-21,1694.36
2023-03-22,1655.43
2023-03-23,1617.82
2023-03-24,1581.91
2023-03-25,1547.89
2023-03-26,1515.85
2023-03-27,1485.73
2023-03-28,1457.41
2023-03-29,1430.71
2023-03-30,1405.41
2023-03-31,1381.29
2023-04-01,1358.12
2023-04-02,1335.74
2023-04-03,1314.01
2023-04-04,1292.81
2023-04-05,1272.1
2023-04-06,1251.82
2023-04-07,1231.96
2023-04-08,1212.53
2023-04-09,1193.53
2023-04-10,1174.97
2023-04-11,1156.86
2023-04-12,1139.2
2023-04-13,1121.99
2023-04-14,1105.21
2023-04-15,1088.86
2023-04-16,1072.91
2023-04-17,1057.35
2023-04-18,1042.15
2023-04-19,1027.29
2023-04-20,1012.76
2023-04-21,998.53
2023-04-22,984.59
2023-04-23,970.92
2023-04-24,957.53
2023-04-25,944.38
2023-04-26,931.49
2023-04-27,918.84
2023-04-28,906.42
2023-04-29,894.24
