,predicted
2023-03-01,179.44
2023-03-02,178.27
2023-03-03,177.74
2023-03-04,177.77
2023-03-05,178.09
2023-03-06,178.46
2023-03-07,178.75
2023-03-08,178.91
2023-03-09,178.94
2023-03-10,178.88
2023-03-11,178.78
2023-03-12,178.67
2023-03-13,178.56
2023-03-14,178.45
2023-03-15,178.34
2023-03-16,178.23
2023-03-17,178.12
2023-03-18,177.99
2023-03-19,177.86
2023-03-20,177.72
2023-03-21,177.57
2023-03-22,177.43
2023-03-23,177.28
2023-03-24,177.14
2023-03-25,177.0
2023-03-26,176.85
2023-03-27,176.72
2023-03-28,176.58
2023-03-29,176.45
2023-03-30,176.32
2023-03-31,176.19
2023-04-01,176.07
2023-04-02,175.95
2023-04-03,175.84
2023-04-04,175.73
2023-04-05,175.63
2023-04-06,175.53
2023-04-07,175.43
2023-04-08,175.34
2023-04-09,175.25
2023-04-10,175.17
2023-04-11,175.09
2023-04-12,175.02
2023-04-13,174.95
2023-04-14,174.88
2023-04-15,174.82
2023-04-16,174.76
2023-04-17,174.71
2023-04-18,174.66
2023-04-19,174.61
2023-04-20,174.56
2023-04-21,174.52
2023-04-22,174.48
2023-04-23,174.44
2023-04-24,174.41
2023-04-25,174.38
2023-04-26,174.35
2023-04-27,174.32
2023-04-28,174.3
2023-04-29,174.28
