time,Symbol,PriceUSD,Percent of Change
2010-07-18,btc,0.08584,0
2010-07-19,btc,0.0808,0
2010-07-20,btc,0.074735729,0
2010-07-21,btc,0.079192863,0
2010-07-22,btc,0.05846976,0
2010-07-23,btc,0.06059287,0
2010-07-24,btc,0.05454,0
2010-07-25,btc,0.050540618,0
2010-07-26,btc,0.056,0
2010-07-27,btc,0.058622016,0
2010-07-28,btc,0.058911099,0
2010-07-29,btc,0.0699,0
2010-07-30,btc,0.064657382,0
2010-07-31,btc,0.067545799,0
2010-08-01,btc,0.0611,0
2010-08-02,btc,0.06,0
2010-08-03,btc,0.060012151,0
2010-08-04,btc,0.05701578,0
2010-08-05,btc,0.061,0
2010-08-06,btc,0.061671315,0
2010-08-07,btc,0.059003945,0
2010-08-08,btc,0.0609,0
2010-08-09,btc,0.0704,0
2010-08-10,btc,0.069338729,0
2010-08-11,btc,0.067,0
2010-08-12,btc,0.07,0
2010-08-13,btc,0.0645,0
2010-08-14,btc,0.066996434,0
2010-08-15,btc,0.065117932,0
2010-08-16,btc,0.0655,0
2010-08-17,btc,0.07,0
2010-08-18,btc,0.068,0
2010-08-19,btc,0.0667,0
2010-08-20,btc,0.0655,0
2010-08-21,btc,0.0664,0
2010-08-22,btc,0.065928989,0
2010-08-23,btc,0.06491,0
2010-08-24,btc,0.065,0
2010-08-25,btc,0.0648,0
2010-08-26,btc,0.064075114,0
2010-08-27,btc,0.065,0
2010-08-28,btc,0.0646,0
2010-08-29,btc,0.064,0
2010-08-30,btc,0.06497,0
2010-08-31,btc,0.06,0
2010-09-01,btc,0.062024828,0
2010-09-02,btc,0.0634,0
2010-09-03,btc,0.06085,0
2010-09-04,btc,0.062178276,0
2010-09-05,btc,0.06165,0
2010-09-06,btc,0.0616,0
2010-09-07,btc,0.061239118,0
2010-09-08,btc,0.061,0
2010-09-09,btc,0.061114971,0
2010-09-10,btc,0.061011524,0
2010-09-11,btc,0.063620865,0
2010-09-12,btc,0.0615,0
2010-09-13,btc,0.06218,0
2010-09-14,btc,0.06199,0
2010-09-15,btc,0.0604,0
2010-09-16,btc,0.0619,0
2010-09-17,btc,0.060000526,0
2010-09-18,btc,0.061,0
2010-09-19,btc,0.0627,0
2010-09-20,btc,0.062101736,0
2010-09-21,btc,0.06265,0
2010-09-22,btc,0.06188187,0
2010-09-23,btc,0.062153513,0
2010-09-24,btc,0.0622,0
2010-09-25,btc,0.06202,0
2010-09-26,btc,0.062,0
2010-09-27,btc,0.062200442,0
2010-09-28,btc,0.061903898,0
2010-09-29,btc,0.06191,0
2010-09-30,btc,0.0619,0
2010-10-01,btc,0.061973314,0
2010-10-02,btc,0.0614,0
2010-10-03,btc,0.061064868,0
2010-10-04,btc,0.061294477,0
2010-10-05,btc,0.0614,0
2010-10-06,btc,0.06281,0
2010-10-07,btc,0.067,0
2010-10-08,btc,0.084453108,0
2010-10-09,btc,0.0938,0
2010-10-10,btc,0.097146201,0
2010-10-11,btc,0.095,0
2010-10-12,btc,0.0949,0
2010-10-13,btc,0.104865589,0
2010-10-14,btc,0.102,0
2010-10-15,btc,0.105,0
2010-10-16,btc,0.101,0
2010-10-17,btc,0.102,0
2010-10-18,btc,0.1024,0
2010-10-19,btc,0.097544892,0
2010-10-20,btc,0.099,0
2010-10-21,btc,0.107,0
2010-10-22,btc,0.1025,0
2010-10-23,btc,0.104556424,0
2010-10-24,btc,0.11501,0
2010-10-25,btc,0.139118553,0
2010-10-26,btc,0.151,0
2010-10-27,btc,0.1877,0
2010-10-28,btc,0.1731,0
2010-10-29,btc,0.19,0
2010-10-30,btc,0.197610544,0
2010-10-31,btc,0.1925,0
2010-11-01,btc,0.194525061,0
2010-11-02,btc,0.1938,0
2010-11-03,btc,0.1931,0
2010-11-04,btc,0.229275161,0
2010-11-05,btc,0.259112414,0
2010-11-06,btc,0.400982303,0
2010-11-07,btc,0.34,0
2010-11-08,btc,0.243184629,0
2010-11-09,btc,0.217272694,0
2010-11-10,btc,0.229549731,0
2010-11-11,btc,0.2231,0
2010-11-12,btc,0.2682,0
2010-11-13,btc,0.276,0
2010-11-14,btc,0.27904,0
2010-11-15,btc,0.268464556,0
2010-11-16,btc,0.225,0
2010-11-17,btc,0.241939334,0
2010-11-18,btc,0.269057791,0
2010-11-19,btc,0.27829,0
2010-11-20,btc,0.283015965,0
2010-11-21,btc,0.27675,0
2010-11-22,btc,0.285,0
2010-11-23,btc,0.28295,0
2010-11-24,btc,0.282905736,0
2010-11-25,btc,0.28,0
2010-11-26,btc,0.2844,0
2010-11-27,btc,0.283,0
2010-11-28,btc,0.271358679,0
2010-11-29,btc,0.230559456,0
2010-11-30,btc,0.2082,0
2010-12-01,btc,0.2275,0
