Price,Day
0.080437,Thursday
0.081945,Wednesday
0.080792,Tuesday
0.081333,Monday
0.082219,Sunday
0.080742,Saturday
0.080875,Friday
0.084254,Thursday
0.085463,Wednesday
0.085457,Tuesday
0.08829,Monday
0.087069,Sunday
0.088822,Saturday
0.087689,Friday
0.08496,Thursday
0.089283,Wednesday
0.083554,Tuesday
0.082032,Monday
0.082192,Sunday
0.08225,Saturday
0.080922,Friday
0.081454,Thursday
0.09017,Wednesday
0.092537,Tuesday
0.089463,Monday
0.092083,Sunday
0.095672,Saturday
0.092876,Friday
0.090914,Thursday
0.093957,Wednesday
0.096096,Tuesday
0.088386,Monday
0.090147,Sunday
0.087772,Saturday
0.087212,Friday
0.086429,Thursday
0.086584,Wednesday
0.083857,Tuesday
0.088486,Monday
0.08824,Sunday
0.084605,Saturday
0.086305,Friday
0.081613,Thursday
0.080059,Wednesday
0.082799,Tuesday
0.083687,Monday
0.086112,Sunday
0.087368,Saturday
0.084515,Friday
0.080287,Thursday
0.07813,Wednesday
0.077807,Tuesday
0.075655,Monday
0.073574,Sunday
0.072156,Saturday
0.07242,Friday
0.071485,Thursday
0.073147,Wednesday
0.070477,Tuesday
0.07138,Monday
0.070237,Sunday
0.070144,Saturday
0.068395,Friday
0.070952,Thursday
0.070382,Wednesday
0.073704,Tuesday
0.075679,Monday
0.076009,Sunday
0.077529,Saturday
0.077203,Friday
0.076864,Thursday
0.073729,Wednesday
0.074852,Tuesday
0.07136,Monday
0.078437,Sunday
0.079213,Saturday
0.075783,Friday
0.08479,Thursday
0.088211,Wednesday
0.091023,Tuesday
0.090281,Monday
0.092725,Sunday
0.096385,Saturday
0.096684,Friday
0.098512,Thursday
0.09573,Wednesday
0.100178,Tuesday
0.101488,Monday
0.104097,Sunday
0.099595,Saturday
0.102187,Friday
0.101708,Thursday
0.106775,Wednesday
0.101484,Tuesday
0.095136,Monday
0.098519,Sunday
0.088904,Saturday
0.08935,Friday
0.081459,Thursday
0.081978,Wednesday
0.078692,Tuesday
0.074666,Monday
0.077064,Sunday
0.084529,Saturday
0.084285,Friday
0.084787,Thursday
0.084883,Wednesday
0.08703,Tuesday
0.085879,Monday
0.084993,Sunday
0.08807,Saturday
0.085096,Friday
0.089723,Thursday
0.074228,Wednesday
0.088311,Tuesday
0.11121,Monday
0.114755,Sunday
0.124469,Saturday
0.126109,Friday
0.122354,Thursday
0.127765,Wednesday
0.142243,Tuesday
0.126858,Monday
0.117611,Sunday
0.121873,Saturday
0.083754,Friday
0.076844,Thursday
0.072806,Wednesday
0.062951,Tuesday
0.059447,Monday
0.06037,Sunday
0.059691,Saturday
0.059317,Friday
0.059439,Thursday
0.058691,Wednesday
0.059754,Tuesday
0.059943,Monday
0.05889,Sunday
0.058568,Saturday
0.058663,Friday
0.05965,Thursday
0.05981,Wednesday
0.060249,Tuesday
0.059376,Monday
0.062125,Sunday
0.061642,Saturday
0.062378,Friday
0.063453,Thursday
0.064781,Wednesday
0.065823,Tuesday
0.060337,Monday
0.059239,Sunday
0.060579,Saturday
0.061677,Friday
0.060827,Thursday
0.060521,Wednesday
0.060498,Tuesday
0.061129,Monday
0.061179,Sunday
0.063106,Saturday
0.06337,Friday
0.059577,Thursday
0.05719,Wednesday
0.058409,Tuesday
0.058531,Monday
0.057439,Sunday
0.062204,Saturday
0.060465,Friday
0.058617,Thursday
0.061121,Wednesday
0.059632,Tuesday
0.063952,Monday
0.063672,Sunday
0.06467,Saturday
0.063876,Friday
0.06096,Thursday
0.060966,Wednesday
0.058853,Tuesday
0.062714,Monday
0.063211,Sunday
0.062648,Saturday
0.061668,Friday
0.062304,Thursday
0.061323,Wednesday
0.061503,Tuesday
0.063809,Monday
0.06165,Sunday
0.063352,Saturday
0.063331,Friday
0.068737,Thursday
0.067697,Wednesday
0.068507,Tuesday
0.067914,Monday
0.068996,Sunday
0.069172,Saturday
0.067629,Friday
0.074337,Thursday
0.079641,Wednesday
0.085735,Tuesday
0.076022,Monday
0.080711,Sunday
0.072524,Saturday
0.071934,Friday
0.070503,Thursday
0.070888,Wednesday
0.068751,Tuesday
0.069893,Monday
0.068877,Sunday
0.068618,Saturday
0.069697,Friday
0.067214,Thursday
0.066174,Wednesday
0.066534,Tuesday
0.068508,Monday
0.068106,Sunday
0.069598,Saturday
0.068691,Friday
0.06911,Thursday
0.06719,Wednesday
0.062549,Tuesday
0.061967,Monday
0.067562,Sunday
0.06804,Saturday
0.067371,Friday
0.070011,Thursday
0.070075,Wednesday
0.069045,Tuesday
0.067685,Monday
0.063038,Sunday
0.064362,Saturday
0.062936,Friday
0.062424,Thursday
0.061949,Wednesday
0.05978,Tuesday
0.061751,Monday
0.067237,Sunday
0.069464,Saturday
0.069073,Friday
0.070584,Thursday
0.06846,Wednesday
0.06716,Tuesday
0.069318,Monday
0.067199,Sunday
0.066623,Saturday
0.066411,Friday
0.066322,Thursday
0.069504,Wednesday
0.066046,Tuesday
0.071983,Monday
0.072938,Sunday
0.068507,Saturday
0.066913,Friday
0.063945,Thursday
0.061659,Wednesday
0.065773,Tuesday
0.060043,Monday
0.060469,Sunday
0.052871,Saturday
0.056851,Friday
0.055182,Thursday
0.062678,Wednesday
0.055569,Tuesday
0.054145,Monday
0.063528,Sunday
0.069803,Saturday
0.075363,Friday
0.079351,Thursday
0.079291,Wednesday
0.080374,Tuesday
0.082489,Monday
0.081115,Sunday
0.081835,Saturday
0.080275,Friday
0.082755,Thursday
0.08097,Wednesday
0.085803,Tuesday
0.087898,Monday
0.082697,Sunday
0.081798,Saturday
0.08131,Friday
0.077878,Thursday
0.082975,Wednesday
0.083616,Tuesday
0.083231,Monday
0.085874,Sunday
0.084427,Saturday
0.083859,Friday
0.086661,Thursday
0.083366,Wednesday
0.090277,Tuesday
0.087952,Monday
0.093197,Sunday
0.089386,Saturday
0.08809,Friday
0.082498,Thursday
0.084818,Wednesday
0.107958,Tuesday
0.101385,Monday
0.124115,Sunday
0.127464,Saturday
0.127806,Friday
0.12809,Thursday
0.135905,Wednesday
0.129413,Tuesday
0.130802,Monday
0.132776,Sunday
0.127465,Saturday
0.134912,Friday
0.137507,Thursday
0.139966,Wednesday
0.137684,Tuesday
0.157843,Monday
0.131746,Sunday
0.133795,Saturday
0.136372,Friday
0.136198,Thursday
0.140619,Wednesday
0.142616,Tuesday
0.140206,Monday
0.139173,Sunday
0.14353,Saturday
0.145933,Friday
0.143911,Thursday
0.139871,Wednesday
0.138006,Tuesday
0.134113,Monday
0.14807,Sunday
0.14417,Saturday
0.142564,Friday
0.146036,Thursday
0.143102,Wednesday
0.172508,Tuesday
0.148512,Monday
0.146308,Sunday
0.138704,Saturday
0.141361,Friday
0.138099,Thursday
0.143061,Wednesday
0.144503,Tuesday
0.142204,Monday
0.144839,Sunday
0.136101,Saturday
0.130831,Friday
0.136773,Thursday
0.129818,Wednesday
0.122418,Tuesday
0.119218,Monday
0.119054,Sunday
0.123535,Saturday
0.119207,Friday
0.116336,Thursday
0.116997,Wednesday
0.112591,Tuesday
0.113923,Monday
0.1116,Sunday
0.11471,Saturday
0.115416,Friday
0.116885,Thursday
0.121489,Wednesday
0.117086,Tuesday
0.116952,Monday
0.123778,Sunday
0.123119,Saturday
0.122496,Friday
0.129689,Thursday
0.133033,Wednesday
0.133951,Tuesday
0.133469,Monday
0.122963,Sunday
0.127596,Saturday
0.127659,Friday
0.124013,Thursday
0.127224,Wednesday
0.131352,Tuesday
0.128089,Monday
0.136611,Sunday
0.140908,Saturday
0.138583,Friday
0.138414,Thursday
0.148757,Wednesday
0.151626,Tuesday
0.145895,Monday
0.148156,Sunday
0.144303,Saturday
0.144842,Friday
0.151417,Thursday
0.159365,Wednesday
0.158056,Tuesday
0.165193,Monday
0.153996,Sunday
0.146924,Saturday
0.147737,Friday
0.13786,Thursday
0.137058,Wednesday
0.142331,Tuesday
0.141632,Monday
0.139284,Sunday
0.142947,Saturday
0.141519,Friday
0.141236,Thursday
0.142961,Wednesday
0.142655,Tuesday
0.137352,Monday
0.141739,Sunday
0.133266,Saturday
0.142142,Friday
0.15545,Thursday
0.161593,Wednesday
0.165144,Tuesday
0.170996,Monday
0.176653,Sunday
0.184686,Saturday
0.183061,Friday
0.171666,Thursday
0.162769,Wednesday
0.153689,Tuesday
0.14318,Monday
0.150507,Sunday
0.150862,Saturday
0.154876,Friday
0.160091,Thursday
0.158881,Wednesday
0.168498,Tuesday
0.170154,Monday
