Date,Price,Open,High,Low,Vol.,Change %
2-Mar-23,0.080437,0.081944,0.082257,0.079635,568.17M,-1.84%
1-Mar-23,0.081945,0.080809,0.082821,0.080298,621.10M,1.43%
28-Feb-23,0.080792,0.081354,0.083037,0.079929,1.11B,-0.66%
27-Feb-23,0.081333,0.082214,0.082256,0.079979,751.01M,-1.08%
26-Feb-23,0.082219,0.080742,0.082567,0.080434,583.64M,1.83%
25-Feb-23,0.080742,0.080877,0.081993,0.078583,926.68M,-0.16%
24-Feb-23,0.080875,0.084245,0.08497,0.07939,1.31B,-4.01%
23-Feb-23,0.084254,0.085463,0.086392,0.083568,960.36M,-1.41%
22-Feb-23,0.085463,0.085457,0.087578,0.08289,2.30B,0.01%
21-Feb-23,0.085457,0.08829,0.088759,0.084573,1.32B,-3.21%
20-Feb-23,0.08829,0.087084,0.088669,0.085352,1.17B,1.40%
19-Feb-23,0.087069,0.088822,0.089859,0.086073,1.29B,-1.97%
18-Feb-23,0.088822,0.087703,0.090356,0.086793,978.84M,1.29%
17-Feb-23,0.087689,0.084901,0.088484,0.084393,1.10B,3.21%
16-Feb-23,0.08496,0.089272,0.091886,0.084773,2.39B,-4.84%
15-Feb-23,0.089283,0.083555,0.089572,0.082673,2.54B,6.86%
14-Feb-23,0.083554,0.082033,0.08369,0.080419,1.14B,1.85%
13-Feb-23,0.082032,0.082192,0.086367,0.079586,2.24B,-0.19%
12-Feb-23,0.082192,0.082255,0.085786,0.08125,1.25B,-0.07%
11-Feb-23,0.08225,0.080924,0.082563,0.080682,549.61M,1.64%
10-Feb-23,0.080922,0.081454,0.082946,0.07982,1.45B,-0.65%
9-Feb-23,0.081454,0.09017,0.090927,0.079612,2.36B,-9.67%
8-Feb-23,0.09017,0.092537,0.093308,0.088645,1.10B,-2.56%
7-Feb-23,0.092537,0.089549,0.092728,0.089458,1.14B,3.44%
6-Feb-23,0.089463,0.092083,0.093233,0.088828,1.27B,-2.85%
5-Feb-23,0.092083,0.095679,0.096899,0.090594,2.10B,-3.75%
4-Feb-23,0.095672,0.092877,0.099721,0.092552,3.02B,3.01%
3-Feb-23,0.092876,0.090976,0.093325,0.09039,1.49B,2.16%
2-Feb-23,0.090914,0.093948,0.09582,0.090279,2.13B,-3.24%
1-Feb-23,0.093957,0.096109,0.096882,0.088379,3.29B,-2.23%
31-Jan-23,0.096096,0.088385,0.097679,0.088307,4.52B,8.72%
30-Jan-23,0.088386,0.090147,0.092611,0.085046,2.50B,-1.95%
29-Jan-23,0.090147,0.087772,0.090991,0.087342,1.35B,2.71%
28-Jan-23,0.087772,0.087212,0.093131,0.086877,1.82B,0.64%
27-Jan-23,0.087212,0.08644,0.087975,0.083999,1.11B,0.91%
26-Jan-23,0.086429,0.086543,0.087435,0.084829,1.14B,-0.18%
25-Jan-23,0.086584,0.083855,0.08804,0.081898,1.54B,3.25%
24-Jan-23,0.083857,0.088486,0.090749,0.083152,1.59B,-5.23%
23-Jan-23,0.088486,0.08824,0.091438,0.086869,2.00B,0.28%
22-Jan-23,0.08824,0.084605,0.093162,0.084502,2.39B,4.30%
21-Jan-23,0.084605,0.086296,0.088987,0.08437,2.24B,-1.97%
20-Jan-23,0.086305,0.081607,0.086979,0.080688,1.36B,5.75%
19-Jan-23,0.081613,0.080042,0.082122,0.079946,1.03B,1.94%
18-Jan-23,0.080059,0.082806,0.089473,0.079614,3.26B,-3.31%
17-Jan-23,0.082799,0.083687,0.08489,0.082382,1.06B,-1.06%
16-Jan-23,0.083687,0.086111,0.088064,0.081928,1.82B,-2.82%
15-Jan-23,0.086112,0.087297,0.08777,0.082923,1.61B,-1.44%
14-Jan-23,0.087368,0.084519,0.092126,0.084186,3.61B,3.38%
13-Jan-23,0.084515,0.080287,0.085061,0.078972,1.94B,5.27%
12-Jan-23,0.080287,0.07813,0.081125,0.075406,2.68B,2.76%
11-Jan-23,0.07813,0.077807,0.078372,0.074894,1.52B,0.42%
10-Jan-23,0.077807,0.075655,0.077807,0.074126,1.97B,2.84%
9-Jan-23,0.075655,0.073565,0.079454,0.073031,3.32B,2.83%
8-Jan-23,0.073574,0.07216,0.073902,0.07131,954.11M,1.96%
7-Jan-23,0.072156,0.07242,0.072949,0.071684,587.15M,-0.36%
6-Jan-23,0.07242,0.071485,0.072663,0.069947,1.26B,1.31%
5-Jan-23,0.071485,0.07314,0.075177,0.071085,1.72B,-2.27%
4-Jan-23,0.073147,0.070473,0.073394,0.070209,1.28B,3.79%
3-Jan-23,0.070477,0.071382,0.072275,0.069617,1.11B,-1.26%
2-Jan-23,0.07138,0.070218,0.073037,0.069098,1.68B,1.63%
1-Jan-23,0.070237,0.070169,0.070783,0.069075,723.17M,0.13%
31-Dec-22,0.070144,0.068392,0.071239,0.067988,1.18B,2.56%
30-Dec-22,0.068395,0.070933,0.071405,0.066392,1.86B,-3.60%
29-Dec-22,0.070952,0.070376,0.071441,0.069455,1.16B,0.81%
28-Dec-22,0.070382,0.073704,0.073848,0.06961,2.31B,-4.51%
27-Dec-22,0.073704,0.075672,0.076088,0.072824,1.04B,-2.61%
26-Dec-22,0.075679,0.076009,0.076484,0.074613,888.95M,-0.43%
25-Dec-22,0.076009,0.077525,0.077653,0.073927,1.68B,-1.96%
24-Dec-22,0.077529,0.077206,0.07802,0.07669,562.87M,0.42%
23-Dec-22,0.077203,0.076864,0.078862,0.076576,1.55B,0.44%
22-Dec-22,0.076864,0.07372,0.077563,0.073294,2.18B,4.25%
21-Dec-22,0.073729,0.074852,0.07502,0.071591,1.44B,-1.50%
20-Dec-22,0.074852,0.071364,0.075388,0.071166,1.63B,4.89%
19-Dec-22,0.07136,0.078437,0.07946,0.070279,2.42B,-9.02%
18-Dec-22,0.078437,0.079212,0.080041,0.077641,944.00M,-0.98%
17-Dec-22,0.079213,0.075821,0.079417,0.075551,1.99B,4.53%
16-Dec-22,0.075783,0.08479,0.086787,0.074476,2.64B,-10.62%
15-Dec-22,0.08479,0.08822,0.088779,0.084204,1.30B,-3.88%
14-Dec-22,0.088211,0.091038,0.092372,0.087642,1.78B,-3.09%
13-Dec-22,0.091023,0.090286,0.094664,0.087269,2.30B,0.82%
12-Dec-22,0.090281,0.092657,0.092987,0.085129,2.68B,-2.64%
11-Dec-22,0.092725,0.096382,0.097117,0.092025,832.14M,-3.80%
10-Dec-22,0.096385,0.096692,0.097361,0.09607,607.12M,-0.31%
9-Dec-22,0.096684,0.098508,0.099272,0.095707,1.22B,-1.86%
8-Dec-22,0.098512,0.09574,0.099027,0.094852,1.30B,2.91%
7-Dec-22,0.09573,0.10019,0.101192,0.093419,1.79B,-4.44%
6-Dec-22,0.100178,0.101484,0.102728,0.098121,1.51B,-1.29%
5-Dec-22,0.101488,0.104139,0.111584,0.099575,2.70B,-2.51%
4-Dec-22,0.104097,0.099597,0.105412,0.099552,2.04B,4.52%
3-Dec-22,0.099595,0.102198,0.102899,0.0987,1.80B,-2.54%
2-Dec-22,0.102187,0.101708,0.103398,0.096942,2.06B,0.47%
1-Dec-22,0.101708,0.106775,0.107715,0.100512,2.50B,-4.75%
30-Nov-22,0.106775,0.10148,0.10982,0.10001,3.81B,5.21%
29-Nov-22,0.101484,0.095139,0.104971,0.093712,3.85B,6.67%
28-Nov-22,0.095136,0.098537,0.099435,0.090785,4.31B,-3.43%
27-Nov-22,0.098519,0.088906,0.107755,0.08881,5.56B,10.82%
26-Nov-22,0.088904,0.089357,0.095262,0.087559,2.62B,-0.50%
25-Nov-22,0.08935,0.081459,0.091394,0.080777,3.26B,9.69%
24-Nov-22,0.081459,0.081976,0.084131,0.080554,982.58M,-0.63%
23-Nov-22,0.081978,0.078728,0.083464,0.077829,1.67B,4.18%
22-Nov-22,0.078692,0.074668,0.07951,0.073346,1.91B,5.39%
21-Nov-22,0.074666,0.077082,0.077259,0.071512,2.42B,-3.11%
20-Nov-22,0.077064,0.084521,0.085797,0.076582,1.55B,-8.83%
19-Nov-22,0.084529,0.084121,0.084957,0.08384,641.01M,0.29%
18-Nov-22,0.084285,0.085026,0.085901,0.083653,1.05B,-0.59%
17-Nov-22,0.084787,0.084884,0.087207,0.082764,1.44B,-0.11%
16-Nov-22,0.084883,0.08703,0.091109,0.083648,1.99B,-2.47%
15-Nov-22,0.08703,0.085879,0.089413,0.085163,1.84B,1.34%
14-Nov-22,0.085879,0.084991,0.09093,0.079456,3.30B,1.04%
13-Nov-22,0.084993,0.088086,0.091381,0.083175,2.88B,-3.49%
12-Nov-22,0.08807,0.085067,0.094503,0.078578,4.89B,3.49%
11-Nov-22,0.085096,0.08972,0.092769,0.080232,3.40B,-5.16%
10-Nov-22,0.089723,0.074224,0.093836,0.073521,6.20B,20.87%
9-Nov-22,0.074228,0.088374,0.091945,0.070767,7.51B,-15.95%
8-Nov-22,0.088311,0.11121,0.112465,0.078195,8.97B,-20.59%
7-Nov-22,0.11121,0.114765,0.11897,0.108016,2.82B,-3.09%
6-Nov-22,0.114755,0.124473,0.12752,0.11291,2.54B,-7.80%
5-Nov-22,0.124469,0.126094,0.135591,0.122251,3.62B,-1.30%
4-Nov-22,0.126109,0.122372,0.129056,0.115611,6.32B,3.07%
3-Nov-22,0.122354,0.127706,0.136887,0.120139,5.36B,-4.24%
2-Nov-22,0.127765,0.142183,0.147603,0.122578,8.86B,-10.18%
1-Nov-22,0.142243,0.126834,0.158237,0.12488,12.96B,12.13%
31-Oct-22,0.126858,0.117636,0.130866,0.114439,9.63B,7.86%
30-Oct-22,0.117611,0.121878,0.143027,0.112175,11.68B,-3.50%
29-Oct-22,0.121873,0.083749,0.150228,0.083042,19.47B,45.51%
28-Oct-22,0.083754,0.076846,0.0883,0.072656,8.12B,8.99%
27-Oct-22,0.076844,0.072803,0.085412,0.071784,7.01B,5.55%
26-Oct-22,0.072806,0.062945,0.073536,0.062625,3.81B,15.66%
25-Oct-22,0.062951,0.059452,0.06417,0.059148,1.49B,5.89%
24-Oct-22,0.059447,0.06037,0.060889,0.0587,507.06M,-1.53%
23-Oct-22,0.06037,0.059691,0.060444,0.058837,380.52M,1.14%
22-Oct-22,0.059691,0.059318,0.059892,0.059109,310.03M,0.63%
21-Oct-22,0.059317,0.059434,0.059493,0.057233,473.97M,-0.20%
20-Oct-22,0.059439,0.058691,0.060315,0.058283,693.89M,1.27%
19-Oct-22,0.058691,0.059754,0.060757,0.058356,729.82M,-1.78%
18-Oct-22,0.059754,0.059943,0.061015,0.058557,539.99M,-0.31%
17-Oct-22,0.059943,0.0589,0.060165,0.058557,304.53M,1.79%
16-Oct-22,0.05889,0.058564,0.059435,0.05849,246.76M,0.55%
15-Oct-22,0.058568,0.058663,0.059734,0.058003,366.71M,-0.16%
14-Oct-22,0.058663,0.05965,0.061004,0.058204,516.32M,-1.66%
13-Oct-22,0.05965,0.05981,0.06023,0.055189,1.14B,-0.27%
12-Oct-22,0.05981,0.060246,0.060988,0.059333,395.67M,-0.73%
11-Oct-22,0.060249,0.059381,0.060844,0.057564,741.52M,1.47%
10-Oct-22,0.059376,0.062125,0.062505,0.059367,645.77M,-4.42%
9-Oct-22,0.062125,0.061642,0.062378,0.061189,343.06M,0.78%
