Date,Price,Open,High,Low,Vol.,Change %
23-Mar,0.080504,0.080809,0.082821,0.079635,1.25B,-0.36%
23-Feb,0.080792,0.096109,0.099721,0.078583,42.96B,-15.93%
23-Jan,0.096096,0.070169,0.097679,0.069075,55.04B,37.00%
22-Dec,0.070144,0.106775,0.111584,0.066392,52.55B,-34.31%
22-Nov,0.106775,0.126834,0.158237,0.070767,118.84B,-15.83%
22-Oct,0.126858,0.061675,0.150228,0.055189,80.09B,105.68%
22-Sep,0.061677,0.061329,0.068159,0.055954,32.44B,0.58%
22-Aug,0.061323,0.06811,0.088242,0.060242,48.25B,-9.96%
22-Jul,0.068106,0.066301,0.076849,0.057692,34.24B,2.69%
22-Jun,0.066322,0.085831,0.089324,0.049239,57.00B,-22.70%
22-May,0.085803,0.12744,0.137688,0.068584,53.92B,-32.68%
22-Apr,0.127465,0.138077,0.179018,0.122725,90.41B,-7.70%
22-Mar,0.138099,0.13347,0.1535,0.110102,30.26B,3.47%
22-Feb,0.133469,0.141611,0.172657,0.107474,37.29B,-5.76%
22-Jan,0.141632,0.170297,0.211988,0.120493,60.27B,-16.83%
21-Dec,0.170297,0.214438,0.223029,0.133105,66.36B,-20.58%
21-Nov,0.214425,0.279974,0.296603,0.190079,66.55B,-23.40%
21-Oct,0.279928,0.204248,0.339122,0.201872,129.63B,37.04%
21-Sep,0.204272,0.27823,0.319579,0.194212,57.45B,-26.58%
21-Aug,0.278231,0.206723,0.347427,0.192766,118.42B,34.65%
21-Jul,0.206627,0.253113,0.259426,0.088727,73.53B,-18.38%
21-Jun,0.253155,0.323958,0.4441,0.164609,135.77B,-21.85%
21-May,0.323951,0.336657,0.738255,0.217528,363.27B,-3.77%
21-Apr,0.336635,0.053742,0.449889,0.053723,583.32B,526.37%
21-Mar,0.053744,0.048134,0.06351,0.047762,126.81B,11.67%
21-Feb,0.048129,0.036826,0.086356,0.029054,557.44B,30.64%
21-Jan,0.036841,0.004666,0.072,0.006,658.03B,689.54%
20-Dec,0.004666,0.003559,0.005463,0.003001,150.64B,31.39%
20-Nov,0.003551,0.002569,0.004287,0.002453,95.62B,38.28%
20-Oct,0.002568,0.002634,0.002905,0.002512,53.44B,-2.48%
20-Sep,0.002634,0.00321,0.003286,0.002533,86.00B,-17.96%
20-Aug,0.00321,0.003224,0.003839,0.003134,164.60B,-0.43%
20-Jul,0.003224,0.002314,0.005425,0.002282,255.67B,39.32%
20-Jun,0.002314,0.002573,0.002666,0.002277,101.30B,-10.07%
20-May,0.002573,0.00246,0.002692,0.002277,522.97B,4.60%
20-Apr,0.00246,0.0018,0.002689,0.001769,"1,000.80B",36.68%
20-Mar,0.0018,0.002216,0.002533,0.001291,570.61B,-18.77%
20-Feb,0.002216,0.002381,0.022,0.002216,63.57B,-6.94%
20-Jan,0.002381,0.002015,0.184558,0.001855,54.27B,18.19%
19-Dec,0.002015,0.002394,0.002824,0.001998,114.14B,-15.84%
19-Nov,0.002394,0.002633,0.003221,0.001834,107.62B,-9.10%
19-Oct,0.002633,0.002418,0.00289,0.002339,98.90B,8.92%
19-Sep,0.002418,0.002681,0.003061,0.002142,80.36B,-9.75%
19-Aug,0.002679,0.002897,0.003285,0.002427,68.31B,-7.54%
19-Jul,0.002897,0.003279,0.004442,0.002734,89.83B,-11.65%
19-Jun,0.003279,0.003401,0.003648,0.002853,106.93B,-3.44%
19-May,0.003396,0.00251,0.003576,0.002466,113.89B,35.31%
19-Apr,0.00251,0.002076,0.004162,0.002069,88.63B,20.90%
19-Mar,0.002076,0.001927,0.002101,0.0019,10.74B,7.74%
19-Feb,0.001927,0.001893,0.002123,0.001797,13.13B,1.80%
19-Jan,0.001893,0.002327,0.002364,0.001834,15.67B,-18.66%
18-Dec,0.002327,0.002185,0.002874,0.002016,23.92B,6.53%
18-Nov,0.002185,0.003804,0.003832,0.002011,37.01B,-42.57%
18-Oct,0.003804,0.005933,0.00607,0.003609,29.64B,-35.88%
18-Sep,0.005933,0.004823,0.007039,0.004326,69.53B,23.00%
18-Aug,0.004823,0.002979,0.005064,0.002099,17.22B,61.90%
18-Jul,0.002979,0.002543,0.00443,0.002254,7.97B,17.14%
18-Jun,0.002543,0.003431,0.00382,0.002279,5.43B,-25.89%
18-May,0.003432,0.005232,0.005545,0.002447,6.66B,-34.40%
18-Apr,0.005232,0.0028,0.00607,0.002632,13.74B,86.86%
18-Mar,0.0028,0.00607,0.00627,0.002722,10.64B,-53.88%
18-Feb,0.00607,0.006006,0.00843,0.003048,17.84B,1.06%
18-Jan,0.006006,0.008927,0.019,0.005416,16.00B,-32.72%
17-Dec,0.008927,0.002053,0.01102,0.001971,37.35B,334.83%
17-Nov,0.002053,0.001147,0.0027,0.001023,51.09B,78.99%
17-Oct,0.001147,0.001168,0.001182,0.0009,62.84B,-1.80%
17-Sep,0.001168,0.0021,0.002853,0.000669,37.50B,-44.38%
17-Aug,0.0021,0.001674,0.002333,0.001405,10.23B,25.45%
17-Jul,0.001674,0.002555,0.002764,0.001251,222.57M,-34.48%
