Date,Price,Open,High,Low,Vol.,Change %
23-Mar,"1,662.53","1,604.69","1,668.55","1,595.40",431.49K,3.60%
23-Feb,"1,604.69","1,585.27","1,738.87","1,464.10",14.07M,1.23%
23-Jan,"1,585.27","1,195.69","1,678.27","1,191.67",15.36M,32.58%
22-Dec,"1,195.67","1,294.40","1,348.43","1,152.54",11.56M,-7.63%
22-Nov,"1,294.41","1,572.89","1,666.17","1,076.29",25.72M,-17.70%
22-Oct,"1,572.89","1,328.73","1,660.13","1,196.63",18.77M,18.37%
22-Sep,"1,328.73","1,554.57","1,788.10","1,222.29",26.34M,-14.56%
22-Aug,"1,555.12","1,679.98","2,028.40","1,424.33",30.21M,-7.43%
22-Jul,"1,680.00","1,069.13","1,781.39","1,012.29",45.65M,57.15%
22-Jun,"1,069.05","1,941.81","1,971.22",883.35,48.62M,-44.95%
22-May,"1,941.79","2,727.20","2,963.54","1,708.62",30.39M,-28.80%
22-Apr,"2,727.18","3,282.33","3,579.82","2,716.31",16.66M,-16.91%
22-Mar,"3,282.35","2,922.44","3,481.23","2,447.74",18.38B,12.31%
22-Feb,"2,922.50","2,686.82","3,277.36","2,303.07",18.06M,8.77%
22-Jan,"2,686.82","3,677.69","3,889.07","2,161.55",19.15M,-26.95%
21-Dec,"3,677.85","4,628.72","4,778.14","3,533.02",18.28M,-20.55%
21-Nov,"4,628.90","4,287.41","4,864.06","3,917.43",17.12M,7.96%
21-Oct,"4,287.56","2,999.86","4,458.30","2,972.75",21.57M,42.89%
21-Sep,"3,000.59","3,429.65","4,024.89","2,659.71",30.69M,-12.54%
21-Aug,"3,430.74","2,530.94","3,467.42","2,445.49",26.43M,35.49%
21-Jul,"2,532.19","2,274.50","2,551.68","1,720.70",33.53M,11.36%
21-Jun,"2,273.84","2,707.94","2,889.19","1,707.24",51.29M,-16.05%
21-May,"2,708.47","2,772.27","4,366.10","1,739.91",81.40M,-2.32%
21-Apr,"2,772.78","1,918.82","2,797.61","1,897.38",61.47M,44.57%
21-Mar,"1,917.99","1,418.91","1,945.40","1,411.55",50.74M,35.19%
21-Feb,"1,418.76","1,312.69","2,040.79","1,272.09",53.76M,8.08%
21-Jan,"1,312.73",735.87,"1,474.68",715.15,79.04M,78.37%
20-Dec,735.94,616.78,757.11,530.88,300.29M,19.49%
20-Nov,615.92,386.36,621.7,370.96,437.16M,59.39%
20-Oct,386.42,359.5,420.12,334.11,209.52M,7.52%
20-Sep,359.39,433.89,488.24,314.13,410.26M,-17.17%
20-Aug,433.9,346.48,444.86,335.76,246.93M,25.22%
20-Jul,346.51,225.61,349.34,223.53,237.53M,53.58%
20-Jun,225.63,231.8,253.21,217.11,220.37M,-2.67%
20-May,231.81,206.23,246.55,177.43,549.27M,12.41%
20-Apr,206.22,132.88,227.05,128.93,752.88M,55.22%
20-Mar,132.86,217.51,251.55,88.5,798.97M,-38.92%
20-Feb,217.52,179.88,287.93,179.88,565.04M,20.91%
20-Jan,179.91,129.21,186.76,126.05,412.79M,39.24%
19-Dec,129.21,151.93,152.33,117.14,378.34M,-14.97%
19-Nov,151.95,182.38,194.11,131.78,330.12M,-16.68%
19-Oct,182.37,180.36,195.87,154.42,353.37M,1.12%
19-Sep,180.35,171.62,223.35,153.17,294.65M,5.09%
19-Aug,171.62,217.23,237.47,106.01,286.37M,-20.99%
19-Jul,217.23,292.23,317.94,192.91,290.11M,-25.66%
19-Jun,292.21,267.94,364.89,227,261.02M,9.04%
19-May,267.99,161.84,287.99,158.85,420.62M,65.63%
19-Apr,161.8,141.77,185.54,140.26,357.03M,14.11%
19-Mar,141.79,135.47,168.42,123.25,363.75M,4.67%
19-Feb,135.47,106.74,165.79,102.28,221.67M,26.95%
19-Jan,106.71,131.9,159.78,101.6,131.93M,-19.10%
