Price,Day,Day1
94.94,Thursday,4
97.85,Wednesday,3
93.79,Tuesday,2
94.07,Monday,1
95.27,Sunday,0
93.16,Saturday,6
91.58,Friday,5
94.58,Thursday,4
95.25,Wednesday,3
93.81,Tuesday,2
95.92,Monday,1
97.6,Sunday,0
99.72,Saturday,6
100.15,Friday,5
98.54,Thursday,4
102.85,Wednesday,3
95.79,Tuesday,2
91.07,Monday,1
92.49,Sunday,0
94.29,Saturday,6
93.45,Friday,5
92.06,Thursday,4
99.22,Wednesday,3
100.87,Tuesday,2
95.9,Monday,1
96.63,Sunday,0
98.47,Saturday,6
99.87,Friday,5
98.46,Thursday,4
100.33,Wednesday,3
94.14,Tuesday,2
91.26,Monday,1
94.88,Sunday,0
89.67,Saturday,6
88.91,Friday,5
87.58,Thursday,4
89.34,Wednesday,3
87.25,Tuesday,2
89.86,Monday,1
87.57,Sunday,0
87.95,Saturday,6
90.32,Friday,5
84.23,Thursday,4
82.62,Wednesday,3
86.99,Tuesday,2
85.91,Monday,1
87.4,Sunday,0
87.82,Saturday,6
86.26,Friday,5
86.12,Thursday,4
84.02,Wednesday,3
80.83,Tuesday,2
81.63,Monday,1
78.48,Sunday,0
76.34,Saturday,6
75.93,Friday,5
74.24,Thursday,4
75.41,Wednesday,3
75.57,Tuesday,2
74.77,Monday,1
70.91,Sunday,0
70.08,Saturday,6
67.94,Friday,5
66.66,Thursday,4
66.32,Wednesday,3
68.68,Tuesday,2
70.77,Monday,1
69.17,Sunday,0
65.76,Saturday,6
65.74,Friday,5
66.2,Thursday,4
65.43,Wednesday,3
65.62,Tuesday,2
63.4,Monday,1
64.39,Sunday,0
64.89,Saturday,6
66.28,Friday,5
72.37,Thursday,4
75.29,Wednesday,3
77.39,Tuesday,2
76.2,Monday,1
76.55,Sunday,0
76.37,Saturday,6
76.31,Friday,5
78.28,Thursday,4
76.85,Wednesday,3
79.9,Tuesday,2
80.18,Monday,1
77.13,Sunday,0
76.47,Saturday,6
77.98,Friday,5
77.56,Thursday,4
79.15,Wednesday,3
75.77,Tuesday,2
73.9,Monday,1
74.92,Sunday,0
76.46,Saturday,6
73.95,Friday,5
78.7,Thursday,4
78.99,Wednesday,3
70.61,Tuesday,2
61.34,Monday,1
62.1,Sunday,0
63.96,Saturday,6
62.33,Friday,5
62.24,Thursday,4
56.92,Wednesday,3
58.05,Tuesday,2
56.62,Monday,1
57.36,Sunday,0
59.85,Saturday,6
61.45,Friday,5
60.48,Thursday,4
50.62,Wednesday,3
57.82,Tuesday,2
67.39,Monday,1
68.26,Sunday,0
69.39,Saturday,6
67.57,Friday,5
61.87,Thursday,4
60.86,Wednesday,3
55.12,Tuesday,2
55.04,Monday,1
55.35,Sunday,0
56.62,Saturday,6
54.92,Friday,5
54.73,Thursday,4
56.4,Wednesday,3
55.88,Tuesday,2
52.54,Monday,1
54.03,Sunday,0
52.18,Saturday,6
51.6,Friday,5
51.22,Thursday,4
50.96,Wednesday,3
51.88,Tuesday,2
51.82,Monday,1
51.41,Sunday,0
50.39,Saturday,6
51.31,Friday,5
51.12,Thursday,4
52.23,Wednesday,3
52.02,Tuesday,2
52.6,Monday,1
53.93,Sunday,0
52.79,Saturday,6
52.83,Friday,5
53.5,Thursday,4
54.62,Wednesday,3
55.27,Tuesday,2
54.17,Monday,1
51.77,Sunday,0
52.92,Saturday,6
53.49,Friday,5
53.96,Thursday,4
53.28,Wednesday,3
52.65,Tuesday,2
53.43,Monday,1
52.52,Sunday,0
53.43,Saturday,6
55.29,Friday,5
53.55,Thursday,4
