Date,Price,Open,High,Low,Vol.,Change %
2-Mar-23,94.94,97.85,98.27,93.92,526.85K,-2.97%
1-Mar-23,97.85,93.79,98.19,93.64,578.27K,4.33%
28-Feb-23,93.79,94.07,95.99,93.1,380.29K,-0.30%
27-Feb-23,94.07,95.27,96.07,92.6,390.66K,-1.26%
26-Feb-23,95.27,93.16,95.52,92.79,343.66K,2.26%
25-Feb-23,93.16,91.58,93.47,90.62,426.38K,1.73%
24-Feb-23,91.58,94.58,95.21,90.17,501.50K,-3.17%
23-Feb-23,94.58,95.25,96.25,93.36,474.25K,-0.70%
22-Feb-23,95.25,93.81,95.5,91.73,693.30K,1.54%
21-Feb-23,93.81,95.92,96.76,91.77,739.57K,-2.20%
20-Feb-23,95.92,97.6,98.55,94.5,935.35K,-1.72%
19-Feb-23,97.6,99.72,101.47,96.95,433.84K,-2.13%
18-Feb-23,99.72,100.15,101.86,98.94,434.89K,-0.43%
17-Feb-23,100.15,98.54,101.59,98.29,569.62K,1.63%
16-Feb-23,98.54,102.85,105.25,98.51,687.33K,-4.19%
15-Feb-23,102.85,95.79,102.96,95.06,764.48K,7.37%
14-Feb-23,95.79,91.07,95.89,90.35,622.12K,5.18%
13-Feb-23,91.07,92.51,94.95,88.36,740.12K,-1.54%
12-Feb-23,92.49,94.29,94.57,91.13,306.63K,-1.91%
11-Feb-23,94.29,93.45,94.81,92.66,360.04K,0.90%
10-Feb-23,93.45,92.06,94.15,91.09,640.82K,1.51%
9-Feb-23,92.06,99.22,99.48,90.01,930.28K,-7.22%
8-Feb-23,99.22,100.87,102.3,96.94,559.84K,-1.64%
7-Feb-23,100.87,95.9,101.46,95.9,672.71K,5.18%
6-Feb-23,95.9,96.63,97.95,95.15,371.48K,-0.76%
5-Feb-23,96.63,98.5,98.88,94.94,417.62K,-1.87%
4-Feb-23,98.47,99.87,101.33,98.25,357.02K,-1.40%
3-Feb-23,99.87,98.46,100.73,97.52,570.02K,1.43%
2-Feb-23,98.46,100.33,102.11,97.99,729.49K,-1.86%
1-Feb-23,100.33,94.14,102.4,93.78,1.33M,6.58%
31-Jan-23,94.14,91.26,96.26,91.26,1.05M,3.16%
30-Jan-23,91.26,94.88,95.97,89.01,986.47K,-3.82%
29-Jan-23,94.88,89.67,97.53,89.67,1.27M,5.81%
28-Jan-23,89.67,88.9,89.9,87.16,392.05K,0.85%
27-Jan-23,88.91,87.58,89.21,85.82,418.64K,1.52%
26-Jan-23,87.58,89.34,89.92,86.9,476.01K,-1.97%
25-Jan-23,89.34,87.23,91.86,85.56,529.32K,2.40%
24-Jan-23,87.25,89.86,91.28,86.1,500.07K,-2.90%
23-Jan-23,89.86,87.57,92.98,87.55,691.22K,2.62%
22-Jan-23,87.57,87.87,90.02,86.61,501.90K,-0.43%
21-Jan-23,87.95,90.32,91.49,87.87,720.86K,-2.62%
20-Jan-23,90.32,84.2,91.04,83.01,757.42K,7.23%
19-Jan-23,84.23,82.62,84.5,81.82,484.91K,1.95%
18-Jan-23,82.62,86.99,88.36,82.4,935.81K,-5.02%
17-Jan-23,86.99,85.91,88.93,84.74,740.82K,1.26%
16-Jan-23,85.91,87.4,89.09,84.53,750.06K,-1.70%
15-Jan-23,87.4,87.82,88.59,85.51,586.55K,-0.48%
14-Jan-23,87.82,86.26,90.91,85.93,1.75M,1.81%
13-Jan-23,86.26,86.12,87.78,83.64,891.19K,0.16%
12-Jan-23,86.12,84.02,86.13,82.36,1.43M,2.50%
11-Jan-23,84.02,80.83,84.96,79.9,968.49K,3.95%
10-Jan-23,80.83,81.63,82.84,79.53,848.09K,-0.98%
9-Jan-23,81.63,78.48,83.41,78.16,1.18M,4.01%
8-Jan-23,78.48,76.34,78.48,75.28,625.89K,2.80%
7-Jan-23,76.34,75.93,76.67,75.55,388.94K,0.54%
6-Jan-23,75.93,74.24,76.45,72.78,797.96K,2.28%
5-Jan-23,74.24,75.41,76.26,73.71,562.35K,-1.55%
4-Jan-23,75.41,75.57,77.84,74.5,772.65K,-0.21%
3-Jan-23,75.57,74.74,76.33,73.72,725.82K,1.07%
2-Jan-23,74.77,70.91,76.55,70.08,1.06M,5.44%
1-Jan-23,70.91,70.08,71.43,69.05,497.86K,1.18%
31-Dec-22,70.08,67.94,71.03,67.62,563.95K,3.15%
30-Dec-22,67.94,66.66,68.44,66.09,476.53K,1.92%
29-Dec-22,66.66,66.32,67.24,65.58,498.34K,0.51%
28-Dec-22,66.32,68.68,69.45,65.73,693.14K,-3.44%
27-Dec-22,68.68,70.77,71.02,67.81,688.64K,-2.95%
26-Dec-22,70.77,69.17,70.93,68.63,725.15K,2.31%
25-Dec-22,69.17,65.76,69.6,65.39,561.70K,5.19%
24-Dec-22,65.76,65.74,66.05,65.07,218.83K,0.03%
23-Dec-22,65.74,66.2,66.66,65,387.54K,-0.69%
22-Dec-22,66.2,65.43,66.7,64.34,505.76K,1.18%
21-Dec-22,65.43,65.62,66.78,64.73,573.30K,-0.29%
