Date,Price,Open,High,Low,Vol.,Change %
23-Mar,95.1,93.79,98.27,93.64,1.14M,1.40%
23-Feb,93.79,94.14,105.25,88.36,16.38M,-0.37%
23-Jan,94.14,70.08,97.53,69.05,24.37M,34.33%
22-Dec,70.08,79.15,83.98,61.09,21.77M,-11.46%
22-Nov,79.15,55.04,81.91,48,40.34M,43.80%
22-Oct,55.04,53.49,57.56,48.39,10.52M,2.90%
22-Sep,53.49,53.84,67.38,50.17,19.33M,-0.59%
22-Aug,53.81,59.77,65.81,51.83,15.47M,-9.97%
22-Jul,59.77,53.83,64.55,46.56,16.23M,11.03%
22-Jun,53.83,68.3,70.5,40.4,26.38M,-21.19%
22-May,68.3,95.9,107.1,54.9,20.87M,-28.78%
22-Apr,95.9,123.8,129.5,94,10.38M,-22.54%
22-Mar,123.8,113.8,134,96.4,696.85M,8.79%
22-Feb,113.8,109.4,143.8,91.7,14.97M,4.02%
22-Jan,109.4,146.3,153.5,96.6,16.59M,-25.22%
21-Dec,146.3,207.8,217.6,130.3,20.37M,-29.70%
21-Nov,208.1,191.716,295.1,183.5,164.37M,8.53%
21-Oct,191.743,153.33,214.459,151.25,1.94B,25.05%
21-Sep,153.33,171.539,233.814,139.921,1.72B,-10.59%
21-Aug,171.49,144.093,191.26,135.68,846.25M,18.52%
21-Jul,144.691,144.15,148.058,104.049,388.57M,0.38%
21-Jun,144.15,188.058,197.602,105.117,518.40M,-23.39%
21-May,188.169,271.15,412.802,118.471,4.95B,-30.59%
21-Apr,271.08,196.671,335.268,192.371,5.37B,37.84%
21-Mar,196.661,165.148,230.087,163.371,4.06B,19.10%
21-Feb,165.119,129.401,247.073,126.002,4.34B,27.60%
21-Jan,129.4,124.162,185.671,112.897,9.66B,4.22%
20-Dec,124.162,87.617,139.408,70.01,6.94B,41.63%
20-Nov,87.664,55.732,93.952,51.502,1.97B,57.30%
20-Oct,55.73,46.266,60.568,43.299,383.58M,20.47%
20-Sep,46.258,60.957,64.273,41.932,377.13M,-24.11%
20-Aug,60.957,58.16,68.877,51.726,432.97M,4.82%
20-Jul,58.156,41.194,59.207,40.391,358.66M,41.17%
20-Jun,41.196,45.611,49.93,39.323,267.79M,-9.68%
20-May,45.611,46.39,49.929,39.575,360.64M,-1.70%
20-Apr,46.4,39.058,50.8,37.2,472.46M,18.74%
20-Mar,39.078,58.078,63.813,24.353,421.22M,-32.71%
20-Feb,58.078,68.041,84.086,58.078,328.93M,-14.65%
20-Jan,68.044,41.288,81.213,38.972,254.16M,64.81%
19-Dec,41.287,47.523,47.523,35.944,298.22M,-13.12%
19-Nov,47.523,58.43,65.384,42.513,363.24M,-18.67%
19-Oct,58.429,55.976,62.446,47.605,340.03M,4.41%
19-Sep,55.961,64.282,79.936,51.163,288.32M,-12.93%
19-Aug,64.271,98.781,106.384,58.552,297.24M,-34.94%
19-Jul,98.781,123.034,126.885,76.708,355.75M,-19.69%
19-Jun,122.993,114.478,145.5,98.578,377.44M,7.44%
19-May,114.479,74.228,121.587,71.824,501.95M,54.21%
19-Apr,74.235,60.782,97.788,60.339,333.67M,22.13%
19-Mar,60.785,45.822,63.161,44.984,378.66M,32.66%
19-Feb,45.82,31.429,53.406,30.872,250.79M,45.80%
19-Jan,31.428,29.899,40.8,29.378,181.78M,5.14%
18-Dec,29.893,32.182,60.67,22.362,125.20M,-7.25%
18-Nov,32.228,49.952,56.805,27.669,97.39M,-35.47%
18-Oct,49.943,61.225,62.137,48.161,83.04M,-18.43%
18-Sep,61.224,62.033,69.383,47.344,99.54M,-1.30%
18-Aug,62.033,78.966,79.1,48.926,73.97M,-21.44%
18-Jul,78.961,81.278,94.662,74.757,44.94M,-2.84%
18-Jun,81.272,118.463,127.863,72.672,41.90M,-31.39%
18-May,118.462,148.304,183.877,110.033,37.18M,-20.13%
18-Apr,148.327,116.333,166.026,109.881,41.01M,27.49%
18-Mar,116.34,202.227,217.881,109.975,59.99M,-42.41%
18-Feb,202.01,163.88,251.122,104.906,72.28M,23.27%
18-Jan,163.879,227.17,304,135,62.98M,-27.86%
17-Dec,227.17,85.82,420,82,161.18M,164.71%
17-Nov,85.82,55.41,103.54,50.25,74.86M,54.88%
17-Oct,55.41,55.26,69.59,48.15,43.96M,0.27%
17-Sep,55.26,73.23,98.28,33.56,103.03M,-24.54%
17-Aug,73.23,42.27,74.8,41.18,41.11M,73.24%
17-Jul,42.27,39.49,57.75,34.78,53.56M,7.04%
17-Jun,39.49,25.88,49.99,24.42,67.72M,52.59%
17-May,25.88,16.2,38.91,15.5,71.74M,59.75%
17-Apr,16.2,7.25,16.74,6.65,34.48M,123.45%
17-Mar,7.25,3.85,9.9,3.69,4.99M,88.31%
17-Feb,3.85,4.07,4.15,3.62,672.51K,-5.41%
17-Jan,4.07,4.36,5.99,3.65,397.32K,-6.65%
16-Dec,4.36,3.84,5.14,3.32,153.67K,13.54%
16-Nov,3.84,3.98,4.5,3.51,149.80K,-3.52%
16-Oct,3.98,3.81,4.25,3.7,110.11K,4.46%
16-Sep,3.81,3.74,6.72,3.26,122.61K,1.87%
