Price,Day
0.37733,Tuesday
0.3785,Monday
0.37799,Sunday
0.37786,Saturday
0.37844,Friday
0.38829,Thursday
0.39507,Wednesday
0.39189,Tuesday
0.39841,Monday
0.38641,Sunday
0.39427,Saturday
0.39486,Friday
0.38417,Thursday
0.40113,Wednesday
0.38207,Tuesday
0.37045,Monday
0.37482,Sunday
0.38349,Saturday
0.38207,Friday
0.38167,Thursday
0.3976,Wednesday
0.40361,Tuesday
0.39189,Monday
0.39842,Sunday
0.41093,Saturday
0.41152,Friday
0.40962,Thursday
0.41328,Wednesday
0.40572,Tuesday
0.39359,Monday
0.41328,Sunday
0.40787,Saturday
