Date,Price,Open,High,Low,Vol.,Change %
1-Mar-23,0.3841,0.3762,0.38422,0.3728,456.92M,2.10%
28-Feb-23,0.3762,0.3785,0.38251,0.37208,575.91M,-0.61%
27-Feb-23,0.3785,0.37798,0.38011,0.37107,602.00M,0.14%
26-Feb-23,0.37799,0.37786,0.38059,0.3746,200.97M,0.03%
25-Feb-23,0.37786,0.37843,0.37933,0.37088,285.25M,-0.15%
24-Feb-23,0.37844,0.38828,0.39079,0.37253,506.55M,-2.54%
23-Feb-23,0.38829,0.39515,0.3978,0.38572,490.03M,-1.72%
22-Feb-23,0.39507,0.3919,0.39739,0.38318,566.95M,0.81%
21-Feb-23,0.39189,0.39841,0.40161,0.38747,594.30M,-1.64%
20-Feb-23,0.39841,0.38638,0.40831,0.37802,732.42M,3.11%
19-Feb-23,0.38641,0.39427,0.39782,0.38536,328.36M,-1.99%
18-Feb-23,0.39427,0.39498,0.39742,0.39123,196.16M,-0.15%
17-Feb-23,0.39486,0.38416,0.39991,0.38107,475.63M,2.78%
16-Feb-23,0.38417,0.40111,0.40438,0.38417,594.20M,-4.23%
15-Feb-23,0.40113,0.38207,0.40224,0.37658,515.88M,4.99%
14-Feb-23,0.38207,0.37043,0.38379,0.36462,507.21M,3.14%
13-Feb-23,0.37045,0.37477,0.37807,0.36293,538.01M,-1.17%
12-Feb-23,0.37482,0.38349,0.3848,0.37214,191.17M,-2.26%
11-Feb-23,0.38349,0.38203,0.3841,0.38021,166.46M,0.37%
10-Feb-23,0.38207,0.38172,0.38769,0.3779,376.95M,0.11%
9-Feb-23,0.38167,0.3976,0.40805,0.37413,721.48M,-4.01%
8-Feb-23,0.3976,0.4036,0.4057,0.39374,374.80M,-1.49%
7-Feb-23,0.40361,0.39192,0.4047,0.39025,478.44M,2.99%
6-Feb-23,0.39189,0.39841,0.40351,0.39102,417.17M,-1.64%
5-Feb-23,0.39842,0.41091,0.41168,0.39542,327.69M,-3.04%
4-Feb-23,0.41093,0.41153,0.42025,0.40764,243.58M,-0.14%
3-Feb-23,0.41152,0.40961,0.41368,0.40604,369.09M,0.46%
2-Feb-23,0.40962,0.41325,0.41874,0.40849,436.84M,-0.89%
1-Feb-23,0.41328,0.40569,0.41568,0.39699,506.19M,1.86%
31-Jan-23,0.40572,0.39353,0.41119,0.38837,466.63M,3.08%
30-Jan-23,0.39359,0.41331,0.42151,0.38936,575.47M,-4.77%
29-Jan-23,0.41328,0.40787,0.41718,0.4066,223.15M,1.33%
28-Jan-23,0.40787,0.41279,0.41598,0.40589,199.75M,-1.20%
27-Jan-23,0.41281,0.40943,0.41339,0.39916,359.88M,0.82%
26-Jan-23,0.40944,0.41672,0.41778,0.4063,384.61M,-1.81%
25-Jan-23,0.417,0.40785,0.42437,0.39782,489.94M,2.23%
24-Jan-23,0.40791,0.42386,0.43101,0.40403,549.09M,-3.79%
23-Jan-23,0.42396,0.40039,0.43205,0.39983,935.74M,5.89%
22-Jan-23,0.40039,0.40339,0.41164,0.39671,339.50M,-0.70%
21-Jan-23,0.40323,0.41281,0.41608,0.40072,467.16M,-2.40%
20-Jan-23,0.41312,0.3928,0.41369,0.38612,487.22M,5.15%
19-Jan-23,0.39288,0.37863,0.39556,0.3767,555.14M,3.75%
18-Jan-23,0.37869,0.38694,0.39554,0.36943,830.01M,-2.13%
17-Jan-23,0.38693,0.38604,0.39812,0.37951,514.11M,0.20%
16-Jan-23,0.38616,0.38475,0.40627,0.37921,730.00M,0.37%
15-Jan-23,0.38474,0.3953,0.39675,0.37995,402.04M,-2.66%
14-Jan-23,0.39526,0.386,0.40855,0.38174,786.84M,2.39%
13-Jan-23,0.38603,0.37482,0.38669,0.36916,541.81M,2.99%
12-Jan-23,0.37483,0.37289,0.37941,0.36336,690.96M,0.52%
11-Jan-23,0.37289,0.35077,0.37699,0.34775,858.01M,6.30%
10-Jan-23,0.35078,0.34895,0.354,0.34338,474.09M,0.52%
9-Jan-23,0.34897,0.34481,0.35716,0.34379,754.29M,1.22%
8-Jan-23,0.34475,0.34413,0.34612,0.33813,269.19M,0.19%
7-Jan-23,0.34412,0.34436,0.34558,0.3415,145.19M,-0.07%
6-Jan-23,0.34436,0.33795,0.34597,0.33137,409.47M,1.90%
5-Jan-23,0.33795,0.34763,0.34869,0.33635,374.32M,-2.82%
4-Jan-23,0.34776,0.34365,0.35147,0.34223,520.59M,1.19%
3-Jan-23,0.34367,0.3482,0.35187,0.34143,472.17M,-1.30%
2-Jan-23,0.34819,0.33869,0.35447,0.31516,913.67M,2.81%
1-Jan-23,0.33868,0.33876,0.33989,0.33552,144.21M,-0.01%
31-Dec-22,0.33872,0.34516,0.34518,0.33872,186.73M,-1.87%
30-Dec-22,0.34519,0.3421,0.34561,0.3338,371.00M,0.90%
29-Dec-22,0.3421,0.35594,0.3577,0.33749,504.02M,-3.91%
28-Dec-22,0.35601,0.36749,0.36861,0.35498,481.85M,-3.12%
27-Dec-22,0.36749,0.36587,0.37257,0.35885,521.31M,0.43%
26-Dec-22,0.36591,0.34577,0.36967,0.3456,460.67M,5.81%
25-Dec-22,0.34581,0.35199,0.35199,0.34422,149.48M,-1.76%
24-Dec-22,0.352,0.3543,0.3543,0.35045,90.12M,-0.65%
23-Dec-22,0.3543,0.34941,0.35467,0.34688,302.95M,1.40%
22-Dec-22,0.34941,0.3449,0.35012,0.34161,354.21M,1.13%
21-Dec-22,0.34552,0.34849,0.35035,0.33843,402.45M,-0.88%
20-Dec-22,0.34857,0.33895,0.35294,0.33597,476.39M,2.84%
19-Dec-22,0.33894,0.34981,0.3529,0.33286,507.18M,-3.11%
18-Dec-22,0.34981,0.35459,0.35522,0.34767,144.56M,-1.35%
17-Dec-22,0.35458,0.35121,0.35689,0.34735,280.23M,0.96%
16-Dec-22,0.35121,0.37791,0.37972,0.34622,512.67M,-7.07%
15-Dec-22,0.37793,0.38519,0.38658,0.37441,325.00M,-1.89%
14-Dec-22,0.38519,0.39527,0.39527,0.37791,443.89M,-2.55%
13-Dec-22,0.39527,0.38724,0.39666,0.37858,571.04M,2.08%
12-Dec-22,0.38723,0.38089,0.38953,0.37149,449.00M,1.64%
11-Dec-22,0.38098,0.38658,0.38849,0.37884,133.07M,-1.44%
10-Dec-22,0.38657,0.3889,0.3892,0.38559,132.18M,-0.58%
9-Dec-22,0.38882,0.39429,0.39502,0.38561,342.35M,-1.39%
8-Dec-22,0.39428,0.3833,0.3958,0.38316,368.14M,2.87%
7-Dec-22,0.38327,0.39146,0.39246,0.37518,399.32M,-2.10%
6-Dec-22,0.39148,0.38937,0.39238,0.38088,401.29M,0.54%
5-Dec-22,0.38939,0.38973,0.39504,0.38138,438.02M,-0.09%
4-Dec-22,0.38973,0.38728,0.39299,0.38635,178.56M,0.68%
3-Dec-22,0.38711,0.39629,0.39643,0.3855,203.82M,-2.32%
2-Dec-22,0.39631,0.39672,0.3974,0.38392,339.93M,-0.10%
1-Dec-22,0.3967,0.40779,0.40917,0.39446,332.05M,-2.72%
30-Nov-22,0.4078,0.39802,0.4112,0.39348,429.20M,2.45%
29-Nov-22,0.39804,0.38871,0.40329,0.38329,464.52M,2.25%
28-Nov-22,0.38929,0.39612,0.399,0.3741,570.56M,-1.72%
27-Nov-22,0.39611,0.39616,0.40905,0.39481,262.33M,0.00%
26-Nov-22,0.39611,0.40778,0.41438,0.39352,242.81M,-2.86%
25-Nov-22,0.40775,0.40198,0.41878,0.38941,554.66M,1.44%
24-Nov-22,0.40197,0.38182,0.40448,0.37438,582.06M,5.27%
23-Nov-22,0.38183,0.37576,0.38229,0.36822,457.82M,1.62%
22-Nov-22,0.37576,0.36459,0.37807,0.35138,600.91M,3.08%
21-Nov-22,0.36455,0.36123,0.36828,0.34668,758.31M,0.90%
20-Nov-22,0.36129,0.38403,0.39598,0.35992,396.50M,-5.92%
19-Nov-22,0.38401,0.38039,0.38822,0.37989,199.13M,0.62%
18-Nov-22,0.38166,0.38379,0.38487,0.37519,380.62M,-0.19%
17-Nov-22,0.38239,0.37386,0.38619,0.36936,545.28M,2.36%
16-Nov-22,0.37355,0.389,0.39098,0.36229,471.29M,-3.99%
15-Nov-22,0.38908,0.37684,0.39657,0.36701,720.64M,3.26%
14-Nov-22,0.37681,0.34082,0.37908,0.32185,909.99M,10.56%
13-Nov-22,0.34082,0.36344,0.36922,0.33293,443.13M,-6.22%
12-Nov-22,0.36341,0.3843,0.38434,0.3597,342.07M,-5.43%
11-Nov-22,0.38429,0.39463,0.39895,0.36638,626.43M,-2.64%
10-Nov-22,0.39469,0.33213,0.40259,0.33066,1.07B,18.86%
9-Nov-22,0.33206,0.40603,0.4108,0.32032,1.24B,-18.22%
8-Nov-22,0.40602,0.465,0.46679,0.34025,1.33B,-12.69%
7-Nov-22,0.46504,0.47098,0.47982,0.4593,444.10M,-1.27%
6-Nov-22,0.471,0.49301,0.49444,0.4689,224.89M,-4.47%
5-Nov-22,0.49302,0.50606,0.5096,0.4901,279.44M,-2.56%
4-Nov-22,0.50596,0.45488,0.5075,0.45335,771.35M,11.23%
3-Nov-22,0.45488,0.44994,0.45979,0.4489,321.04M,1.10%
2-Nov-22,0.44992,0.46359,0.46582,0.44536,431.74M,-2.95%
