Date,Price,Open,High,Low,Vol.,Change %
23-Mar,0.3839,0.3762,0.38422,0.3728,582.92M,2.05%
23-Feb,0.3762,0.40569,0.42025,0.36293,12.35B,-7.27%
23-Jan,0.40572,0.33876,0.43205,0.31516,15.97B,19.78%
22-Dec,0.33872,0.40779,0.40917,0.33286,10.95B,-16.94%
22-Nov,0.4078,0.46434,0.5096,0.32032,16.50B,-12.18%
22-Oct,0.46434,0.47989,0.54678,0.42958,15.46B,-3.24%
22-Sep,0.47989,0.32772,0.55696,0.31367,25.27B,46.44%
22-Aug,0.32771,0.37927,0.39344,0.3187,12.15B,-13.60%
22-Jul,0.37928,0.33205,0.40906,0.30335,12.92B,14.24%
22-Jun,0.33202,0.42162,0.42625,0.28757,16.97B,-21.24%
22-May,0.42156,0.58523,0.6567,0.33665,23.44B,-27.97%
22-Apr,0.58523,0.81495,0.8498,0.57131,14.01B,-28.20%
22-Mar,0.81504,0.78127,0.91125,0.69756,16.88B,4.32%
22-Feb,0.78127,0.61758,0.91257,0.58941,24.12B,26.53%
22-Jan,0.61746,0.83007,0.8638,0.552,16.24B,-25.60%
21-Dec,0.82995,0.99842,1.01722,0.62065,22.11B,-16.81%
21-Nov,0.99761,1.11265,1.34634,0.8902,20.43B,-10.33%
21-Oct,1.11257,0.95324,1.22162,0.94442,18.35B,16.71%
21-Sep,0.95329,1.18597,1.41516,0.859,21.61B,-19.63%
21-Aug,1.18615,0.74443,1.34807,0.6973,27.02B,59.36%
21-Jul,0.74434,0.70533,0.76911,0.51755,17.66B,5.52%
21-Jun,0.70537,1.04122,1.0973,0.51017,28.16B,-32.37%
21-May,1.04293,1.59851,1.76001,0.6507,60.42B,-34.70%
21-Apr,1.59707,0.56957,1.96332,0.5507,78.26B,180.40%
21-Mar,0.56957,0.41566,0.59954,0.41226,33.96B,37.15%
21-Feb,0.41528,0.49493,0.75358,0.34132,70.40B,-16.09%
21-Jan,0.49493,0.21928,0.50882,0.2114,80.29B,125.73%
20-Dec,0.21925,0.66388,0.67952,0.17428,81.60B,-66.97%
20-Nov,0.66386,0.23971,0.77883,0.22803,53.18B,176.94%
20-Oct,0.23972,0.24183,0.26354,0.22849,33.88B,-0.84%
20-Sep,0.24174,0.28114,0.30373,0.21955,39.38B,-14.02%
20-Aug,0.28117,0.25945,0.32667,0.25489,58.23B,8.36%
20-Jul,0.25947,0.24096,0.26039,0.23742,39.33B,48.00%
20-Jun,0.17532,0.20254,0.21452,0.16947,30.43B,-13.44%
20-May,0.20254,0.21143,0.22647,0.18239,59.95B,-4.21%
20-Apr,0.21145,0.17364,0.2355,0.16821,84.17B,21.77%
20-Mar,0.17365,0.22901,0.24616,0.1057,130.71B,-24.18%
20-Feb,0.22902,0.23939,0.34553,0.22902,85.10B,-4.33%
20-Jan,0.23938,0.19293,0.32324,0.18464,60.37B,24.07%
19-Dec,0.19294,0.22548,0.2318,0.17553,49.23B,-14.43%
19-Nov,0.22548,0.29448,0.31422,0.20268,49.82B,-23.43%
19-Oct,0.29448,0.25643,0.312,0.24225,56.76B,14.84%
19-Sep,0.25643,0.25759,0.32571,0.22523,39.25B,-0.45%
19-Aug,0.25759,0.31966,0.31966,0.24016,41.61B,-19.42%
19-Jul,0.31966,0.39699,0.4212,0.28609,40.08B,-19.47%
19-Jun,0.39695,0.43842,0.50552,0.37232,51.20B,-9.46%
19-May,0.43841,0.30884,0.47805,0.29304,62.10B,41.94%
19-Apr,0.30886,0.30891,0.37939,0.28687,30.99B,-0.01%
19-Mar,0.3089,0.31412,0.3252,0.29407,11.18B,-1.66%
19-Feb,0.31412,0.30926,0.34774,0.28878,10.02B,1.56%
19-Jan,0.3093,0.351,0.38143,0.28176,6.66B,-11.88%
