Date,Price,Open,High,Low,Vol.,Change %,Name
1-Mar-23,"23,619.00","23,130.60","23,914.10","23,025.30",328.18K,2.11%,Bitcoin
28-Feb-23,"23,130.50","23,494.00","23,595.00","23,033.80",275.10K,-1.55%,Bitcoin
27-Feb-23,"23,494.10","23,558.70","23,876.20","23,166.80",297.65K,-0.27%,Bitcoin
26-Feb-23,"23,558.70","23,166.10","23,671.80","23,066.00",209.12K,1.69%,Bitcoin
25-Feb-23,"23,166.10","23,191.30","23,215.30","22,777.40",198.35K,-0.11%,Bitcoin
24-Feb-23,"23,191.50","23,936.40","24,123.40","22,970.30",367.99K,-3.11%,Bitcoin
23-Feb-23,"23,936.30","24,186.60","24,590.40","23,637.90",417.46K,-1.03%,Bitcoin
22-Feb-23,"24,186.60","24,450.70","24,474.30","23,593.40",400.24K,-1.08%,Bitcoin
21-Feb-23,"24,450.70","24,839.50","25,236.80","24,160.80",395.97K,-1.57%,Bitcoin
20-Feb-23,"24,839.50","24,302.80","25,085.40","23,868.60",363.02K,2.21%,Bitcoin
19-Feb-23,"24,302.90","24,631.30","25,175.20","24,273.70",312.64K,-1.33%,Bitcoin
18-Feb-23,"24,631.40","24,573.50","24,838.90","24,457.00",223.77K,0.24%,Bitcoin
17-Feb-23,"24,573.50","23,538.20","24,984.70","23,373.00",523.85K,4.39%,Bitcoin
16-Feb-23,"23,539.60","24,328.10","25,233.80","23,525.90",484.50K,-3.24%,Bitcoin
15-Feb-23,"24,327.90","22,198.50","24,330.90","22,050.80",401.53K,9.59%,Bitcoin
14-Feb-23,"22,198.50","21,776.90","22,308.60","21,556.20",378.39K,1.96%,Bitcoin
13-Feb-23,"21,772.60","21,782.70","21,887.50","21,418.70",312.04K,-0.07%,Bitcoin
12-Feb-23,"21,786.80","21,859.90","22,080.70","21,653.10",211.65K,-0.33%,Bitcoin
11-Feb-23,"21,859.80","21,627.40","21,902.90","21,605.30",182.07K,1.04%,Bitcoin
10-Feb-23,"21,635.00","21,792.50","21,933.60","21,491.70",352.79K,-0.72%,Bitcoin
9-Feb-23,"21,792.50","22,964.60","23,003.60","21,744.60",425.44K,-5.10%,Bitcoin
8-Feb-23,"22,964.60","23,251.70","23,425.10","22,691.70",289.12K,-1.23%,Bitcoin
7-Feb-23,"23,251.70","22,761.80","23,338.80","22,748.20",318.98K,2.15%,Bitcoin
6-Feb-23,"22,761.80","22,936.00","23,130.60","22,633.70",278.58K,-0.76%,Bitcoin
5-Feb-23,"22,936.00","23,326.90","23,423.40","22,766.50",217.26K,-1.66%,Bitcoin
4-Feb-23,"23,323.80","23,431.20","23,571.80","23,269.80",170.27K,-0.46%,Bitcoin
